model,prompt_id,generation_id,seed,target_phonics,decodability_compliance,weighted_above_level_rate,target_satisfaction_rate,full_spec_pass,phonics_leakage,word_count,subjective_total,narrative_completeness_score,coherence_score,decodability_adherence_score,target_phonics_pattern_emphasis_score,overall_spec_adherence_score,unique_word_count,permitted_ceiling_stage,permitted_ceiling_label,above_level_rate,distinct_above_level_rate,distinct_decodability_compliance,on_or_below_level_rate,above_level_word_occurrences,above_level_distinct_words,mean_above_level_distance,max_above_level_distance,above_level_words,targets_requested,targets_passed,targets_passed_list,targets_failed_list,phonics_leakage_terms,has_title,detected_title,short_vowel_distinct_count,short_vowel_words,blend_distinct_count,blend_words,digraph_distinct_count,digraph_words,final_e_distinct_count,final_e_words,vowel_team_distinct_count,vowel_team_words,r_controlled_distinct_count,r_controlled_words,diphthong_distinct_count,diphthong_words,multisyllabic_distinct_count,multisyllabic_words,consonant_blends_distinct_count,consonant_digraphs_distinct_count,diphthongs_distinct_count,final_e_words_distinct_count,multisyllabic_words_distinct_count,r_controlled_vowels_distinct_count,short_vowel_words_distinct_count,target_distinct__blend,target_distinct__digraph,target_pass__blend,target_pass__digraph,vowel_teams_distinct_count,judge_provider,judge_model,narrative_completeness_justification,coherence_justification,decodability_adherence_justification,target_phonics_pattern_emphasis_justification,overall_spec_adherence_justification,raw_judge_json
base,blends_digraphs_1,1,1001,"consonant blends, consonant digraphs",0.4977,1.9302,1.0,1,0,215,0,0,0,0,0,0,146,2,consonant blends,0.5023,0.637,0.363,0.4977,108,93,3.8426,5,"about, adventure, adventures, after, all, always, animal, animals, apple, around, bear, because, better, bigger, bright, building, built, came, clever, creatures, curious, day, decided, different, each, eagle, especially, explore, favorite, first, following, for, forest, found, friendship, funny, future, gave, happy, helping, her, home, how, instead, interesting, knew, learned, leaves, leaving, like, little, looked, looking, made, make, many, mira, more, needed, new, none, noticed, now, other, over, owl, place, safe, saw, share, shiny, small, something, somewhere, special, squirrel, started, stay, take, time, tiny, together, tool, tree, unusual, walked, walking, wanted, while, wise, wooden, world, yellow",2,2,"consonant blends, consonant digraphs",,,1,The Happy Forest Adventure,20,"as, at, be, big, but, by, can, fox, go, had, helped, i, in, it, lived, met, named, on, red, top",27,"and, around, bright, built, clever, creatures, different, felt, find, first, forest, found, friendship, gift, nest, old, place, rest, small, special, squirrel, started, stay, stick, sticks, tree, world",23,"building, each, following, friendship, helping, interesting, leaving, looking, share, she, shiny, something, somewhere, stick, sticks, that, them, then, together, walking, when, while, with",20,"adventure, came, explore, favorite, future, gave, home, like, made, make, more, none, place, safe, share, somewhere, take, time, while, wise",25,"always, bear, bright, building, built, creatures, day, each, eagle, friendship, instead, knew, learned, leaves, leaving, looked, looking, needed, new, somewhere, squirrel, stay, tool, tree, wooden",29,"adventure, adventures, after, around, bear, better, bigger, clever, creatures, curious, different, explore, favorite, first, for, forest, future, her, interesting, learned, mira, more, over, share, somewhere, squirrel, started, together, world",9,"about, around, curious, following, found, how, now, owl, saw",53,"about, adventure, adventures, after, always, animal, animals, apple, around, because, better, bigger, building, clever, creatures, curious, decided, different, eagle, especially, explore, favorite, following, forest, friendship, funny, future, happy, helping, instead, interesting, leaving, little, looking, many, mira, needed, noticed, other, over, shiny, something, somewhere, special, squirrel, started, tiny, together, unusual, walking, wanted, wooden, yellow",27,23,9,20,53,29,20,27,23,1,1,25,truefoundry,openai-group/gpt-4.1,"The story is cut off mid-sentence and lacks a clear ending, making it incomplete.","The narrative is confusing, with abrupt transitions and an unfinished ending that disrupts understanding.","The story contains many words above the consonant blends and digraphs level, such as 'adventure,' 'curious,' 'different,' and 'especially.'","Consonant blends and digraphs are rarely emphasized or repeated, with little focus on practicing these patterns.","The story fails to meet the behavior specification due to incompleteness, lack of decodability, and insufficient target phonics emphasis.","{""narrative_completeness"": {""score"": 0, ""justification"": ""The story is cut off mid-sentence and lacks a clear ending, making it incomplete.""}, ""coherence"": {""score"": 0, ""justification"": ""The narrative is confusing, with abrupt transitions and an unfinished ending that disrupts understanding.""}, ""decodability_adherence"": {""score"": 0, ""justification"": ""The story contains many words above the consonant blends and digraphs level, such as 'adventure,' 'curious,' 'different,' and 'especially.'""}, ""target_phonics_pattern_emphasis"": {""score"": 0, ""justification"": ""Consonant blends and digraphs are rarely emphasized or repeated, with little focus on practicing these patterns.""}, ""overall_spec_adherence"": {""score"": 0, ""justification"": ""The story fails to meet the behavior specification due to incompleteness, lack of decodability, and insufficient target phonics emphasis.""}}"
tuned,blends_digraphs_1,1,1001,"consonant blends, consonant digraphs",0.9259,0.2593,0.0,0,0,27,3,0,0,2,1,0,15,2,consonant blends,0.0741,0.1333,0.8667,0.9259,2,2,3.5,5,"moon, title",2,0,,"consonant blends, consonant digraphs",,1,The Frog,7,"dog, in, is, jumps, on, runs, sun",3,"frog, past, pond",1,shines,0,,1,moon,0,,0,,1,title,3,1,0,0,1,0,7,3,1,0,0,1,truefoundry,openai-group/gpt-4.1,"The story lacks a clear beginning, middle, and ending, and reads as a disconnected set of statements.",The events are disjointed and do not form a logical or understandable sequence.,All vocabulary stays within the allowed phonics progression of consonant blends and digraphs.,"There are a few words with consonant blends and digraphs, but the patterns are not emphasized throughout.","The story fails to meet the core requirements for narrative completeness and coherence, despite appropriate decodability.","{""narrative_completeness"": {""score"": 0, ""justification"": ""The story lacks a clear beginning, middle, and ending, and reads as a disconnected set of statements.""}, ""coherence"": {""score"": 0, ""justification"": ""The events are disjointed and do not form a logical or understandable sequence.""}, ""decodability_adherence"": {""score"": 2, ""justification"": ""All vocabulary stays within the allowed phonics progression of consonant blends and digraphs.""}, ""target_phonics_pattern_emphasis"": {""score"": 1, ""justification"": ""There are a few words with consonant blends and digraphs, but the patterns are not emphasized throughout.""}, ""overall_spec_adherence"": {""score"": 0, ""justification"": ""The story fails to meet the core requirements for narrative completeness and coherence, despite appropriate decodability.""}}"
base,blends_digraphs_1,2,1002,"consonant blends, consonant digraphs",0.5673,1.5146,1.0,1,0,171,1,1,0,0,0,0,111,2,consonant blends,0.4327,0.5315,0.4685,0.5673,74,59,3.5,5,"about, all, animal, appeared, beautiful, became, began, bloomed, blue, bright, came, covered, creature, curious, day, different, ears, enough, everyone, flowers, for, forest, found, fur, green, grew, heads, home, how, learned, leaves, letters, like, little, lizard, looked, made, magical, many, might, more, morning, moving, new, noticed, now, owl, shape, shiny, small, something, sound, speak, sweet, tall, those, tree, trees, visit",2,2,"consonant blends, consonant digraphs",,,1,The Forest and the Lizard,21,"be, big, but, can, eyes, fox, full, had, he, his, i, if, in, is, it, know, next, on, ones, so, tell",23,"and, bloomed, blue, bright, creature, different, flowers, forest, found, green, grew, grow, just, kind, plants, small, sound, speak, stop, strange, sweet, tree, trees",17,"long, morning, moving, shape, shiny, ship, something, strange, that, them, then, things, this, those, when, which, with",10,"became, came, creature, everyone, home, like, made, more, shape, those",20,"appeared, beautiful, bloomed, blue, bright, creature, day, ears, green, grew, heads, learned, leaves, looked, might, new, speak, sweet, tree, trees",16,"appeared, covered, creature, curious, different, ears, everyone, flowers, for, forest, fur, learned, letters, lizard, more, morning",10,"about, beautiful, curious, enough, flowers, found, how, now, owl, sound",25,"about, animal, appeared, beautiful, became, began, covered, creature, curious, different, enough, everyone, flowers, forest, letters, little, lizard, magical, many, morning, moving, noticed, shiny, something, visit",23,17,10,10,25,16,21,23,17,1,1,20,truefoundry,openai-group/gpt-4.1,"The story has a beginning, middle, and end, but the transitions are abrupt and the ending is weak and inconclusive.","The story is confusing, with unclear references (plants with ears, leaves shaped like 'stop', lizard with fur) and lacks internal consistency.","The story contains many above-level words and spelling patterns (e.g., 'forest', 'lizard', 'magical', 'beautiful', 'creature', 'learned', 'curious', 'noticed'), far beyond consonant blends and digraphs.","Requested consonant blends and digraphs are almost entirely absent, with only a few isolated examples and no meaningful repetition or practice.","The story fails to adhere to the decodability, phonics emphasis, and coherence requirements of the behavior specification.","{""narrative_completeness"": {""score"": 1, ""justification"": ""The story has a beginning, middle, and end, but the transitions are abrupt and the ending is weak and inconclusive.""}, ""coherence"": {""score"": 0, ""justification"": ""The story is confusing, with unclear references (plants with ears, leaves shaped like 'stop', lizard with fur) and lacks internal consistency.""}, ""decodability_adherence"": {""score"": 0, ""justification"": ""The story contains many above-level words and spelling patterns (e.g., 'forest', 'lizard', 'magical', 'beautiful', 'creature', 'learned', 'curious', 'noticed'), far beyond consonant blends and digraphs.""}, ""target_phonics_pattern_emphasis"": {""score"": 0, ""justification"": ""Requested consonant blends and digraphs are almost entirely absent, with only a few isolated examples and no meaningful repetition or practice.""}, ""overall_spec_adherence"": {""score"": 0, ""justification"": ""The story fails to adhere to the decodability, phonics emphasis, and coherence requirements of the behavior specification.""}}"
tuned,blends_digraphs_1,2,1002,"consonant blends, consonant digraphs",0.8039,0.7059,0.5,0,0,51,5,1,2,0,1,1,39,2,consonant blends,0.1961,0.2564,0.7436,0.8039,10,10,3.6,5,"animals, different, farm, farmhouse, favorite, saw, see, time, title, while",2,1,consonant blends,consonant digraphs,,1,The Farmhouse Trip,12,"at, dad, fun, got, had, i, it, lots, me, mom, my, we",5,"and, different, plants, trip, trips",3,"such, think, while",4,"farmhouse, favorite, time, while",1,see,4,"different, farm, farmhouse, favorite",2,"farmhouse, saw",5,"animals, different, farmhouse, favorite, title",5,3,2,4,5,4,12,5,3,1,0,1,truefoundry,openai-group/gpt-4.1,"The story has a beginning, middle, and end, but transitions are weak and the ending is abrupt.",The story is easy to follow and internally consistent.,"The story includes multiple above-level words such as 'farmhouse,' 'different,' 'favorite,' and 'while,' which exceed the consonant blends and digraphs level.","There are a few words with consonant blends and digraphs (plants, trip), but the emphasis is minimal and not sustained throughout.",The story partially meets the behavior specification but falls short in decodability and target phonics emphasis.,"{""narrative_completeness"": {""score"": 1, ""justification"": ""The story has a beginning, middle, and end, but transitions are weak and the ending is abrupt.""}, ""coherence"": {""score"": 2, ""justification"": ""The story is easy to follow and internally consistent.""}, ""decodability_adherence"": {""score"": 0, ""justification"": ""The story includes multiple above-level words such as 'farmhouse,' 'different,' 'favorite,' and 'while,' which exceed the consonant blends and digraphs level.""}, ""target_phonics_pattern_emphasis"": {""score"": 1, ""justification"": ""There are a few words with consonant blends and digraphs (plants, trip), but the emphasis is minimal and not sustained throughout.""}, ""overall_spec_adherence"": {""score"": 1, ""justification"": ""The story partially meets the behavior specification but falls short in decodability and target phonics emphasis.""}}"
base,blends_digraphs_1,3,1003,"consonant blends, consonant digraphs",0.5024,1.9171,1.0,1,0,205,1,0,1,0,0,0,143,2,consonant blends,0.4976,0.6364,0.3636,0.5024,102,91,3.8529,5,"about, above, adventure, animal, another, anything, around, began, bird, book, calls, came, carried, clouds, colorful, connected, day, deep, distant, except, far, feel, feeling, few, flew, flowed, followed, forest, found, friends, girl, grasses, greatest, happy, hear, heard, her, hidden, high, home, hummed, inspired, journey, learned, leaves, like, lila, little, made, many, mountain, never, new, owl, pictures, places, proud, quiet, rabbit, read, returned, river, rivers, rustle, seen, sentences, simple, small, something, sometimes, squirrel, stone, stories, streams, tail, tales, talking, tall, telling, trees, wagging, walked, way, whisper, whispers, wise, wonder, woods, words, world, young",2,2,"consonant blends, consonant digraphs",,,1,The Forest's Whisper,19,"as, at, edge, filled, full, go, had, helped, i, in, is, it, its, lived, met, named, on, sat, so",31,"and, around, clouds, distant, end, except, felt, find, flew, flowed, forest, found, friends, grasses, greatest, just, old, places, proud, sky, small, soft, squirrel, step, stone, stories, streams, told, trees, wind, world",16,"another, anything, feeling, she, something, songs, talking, telling, that, them, things, wagging, whisper, whispers, with, young",8,"above, adventure, came, home, like, made, stone, wise",27,"book, carried, day, deep, feel, feeling, few, flew, friends, greatest, hear, heard, high, learned, leaves, mountain, new, quiet, read, seen, squirrel, stories, streams, tail, trees, way, woods",27,"adventure, another, around, bird, carried, colorful, far, forest, girl, hear, heard, her, inspired, journey, learned, never, pictures, returned, river, rivers, squirrel, stories, whisper, whispers, wonder, words, world",11,"about, around, clouds, flowed, followed, found, journey, mountain, owl, proud, young",48,"about, above, adventure, animal, another, anything, around, began, carried, colorful, connected, distant, except, feeling, followed, forest, grasses, greatest, happy, hidden, hummed, inspired, journey, lila, little, many, mountain, never, pictures, places, quiet, rabbit, returned, river, rivers, rustle, sentences, simple, something, sometimes, squirrel, stories, talking, telling, wagging, whisper, whispers, wonder",31,16,11,8,48,27,19,31,16,1,1,27,truefoundry,openai-group/gpt-4.1,"The story is cut off mid-sentence and lacks a clear ending, making it incomplete.","The story is mostly understandable and internally consistent, but the abrupt ending disrupts the flow.","The story contains many words and spelling patterns above the consonant blends and digraphs level, such as 'forest,' 'whisper,' 'mountain,' and 'inspired.'",Consonant blends and digraphs are rarely emphasized or repeated throughout the story.,"The story fails to meet the behavior specification due to incomplete narrative, lack of decodability, and insufficient target phonics emphasis.","{""narrative_completeness"": {""score"": 0, ""justification"": ""The story is cut off mid-sentence and lacks a clear ending, making it incomplete.""}, ""coherence"": {""score"": 1, ""justification"": ""The story is mostly understandable and internally consistent, but the abrupt ending disrupts the flow.""}, ""decodability_adherence"": {""score"": 0, ""justification"": ""The story contains many words and spelling patterns above the consonant blends and digraphs level, such as 'forest,' 'whisper,' 'mountain,' and 'inspired.'""}, ""target_phonics_pattern_emphasis"": {""score"": 0, ""justification"": ""Consonant blends and digraphs are rarely emphasized or repeated throughout the story.""}, ""overall_spec_adherence"": {""score"": 0, ""justification"": ""The story fails to meet the behavior specification due to incomplete narrative, lack of decodability, and insufficient target phonics emphasis.""}}"
tuned,blends_digraphs_1,3,1003,"consonant blends, consonant digraphs",0.7024,1.0238,1.0,1,0,84,7,2,2,1,1,1,53,2,consonant blends,0.2976,0.4151,0.5849,0.7024,25,22,3.44,5,"after, all, animal, animals, barn, before, each, family, farm, farmyard, for, heading, home, inside, lead, meet, play, see, take, title, treat, yard",2,2,"consonant blends, consonant digraphs",,,1,A Trip to the Farmyard,11,"big, can, dad, go, has, in, is, mom, on, up, will",10,"and, frogs, just, left, plants, play, pond, rest, treat, trip",5,"ducks, each, heading, them, with",4,"before, home, inside, take",7,"each, heading, lead, meet, play, see, treat",7,"after, barn, before, farm, farmyard, for, yard",0,,9,"after, animal, animals, before, family, farmyard, heading, inside, title",10,5,0,4,9,7,11,10,5,1,1,7,truefoundry,openai-group/gpt-4.1,"The story has a clear beginning (arriving at the farmyard), middle (exploring and interacting with animals), and ending (resting before heading home).","The story is easy to follow and internally consistent, describing a logical sequence of events during a farmyard visit.","Most vocabulary stays within the consonant blends and digraphs level, but words like 'family,' 'animals,' and 'before' introduce above-level patterns unnecessarily.","Consonant blends and digraphs appear (e.g., 'plant,' 'barn,' 'treat,' 'pond,' 'frogs'), but the emphasis is moderate rather than strong throughout the story.",The story is complete and coherent but contains some above-level vocabulary and only moderate emphasis on the target phonics patterns.,"{""narrative_completeness"": {""score"": 2, ""justification"": ""The story has a clear beginning (arriving at the farmyard), middle (exploring and interacting with animals), and ending (resting before heading home).""}, ""coherence"": {""score"": 2, ""justification"": ""The story is easy to follow and internally consistent, describing a logical sequence of events during a farmyard visit.""}, ""decodability_adherence"": {""score"": 1, ""justification"": ""Most vocabulary stays within the consonant blends and digraphs level, but words like 'family,' 'animals,' and 'before' introduce above-level patterns unnecessarily.""}, ""target_phonics_pattern_emphasis"": {""score"": 1, ""justification"": ""Consonant blends and digraphs appear (e.g., 'plant,' 'barn,' 'treat,' 'pond,' 'frogs'), but the emphasis is moderate rather than strong throughout the story.""}, ""overall_spec_adherence"": {""score"": 1, ""justification"": ""The story is complete and coherent but contains some above-level vocabulary and only moderate emphasis on the target phonics patterns.""}}"
base,diphthongs_digraphs_1,1,1001,"diphthongs, consonant digraphs",0.7981,0.2019,1.0,1,0,208,0,0,0,0,0,0,133,6,diphthongs,0.2019,0.2632,0.7368,0.7981,42,35,1.0,1,"about, across, adventure, ago, alive, always, animals, around, began, between, carrying, colors, curious, dreaming, faraway, feeling, garden, happy, herself, instead, lila, listening, magic, nestled, opened, picture, playing, rabbit, realized, something, special, stories, story, village, wonder",2,2,"diphthongs, consonant digraphs",,,1,The Happy Garden of Lila,21,"as, be, big, box, but, by, did, filled, full, had, hills, in, it, its, lived, loved, map, named, on, own, tell",27,"and, around, brave, child, clouds, dreaming, dreams, felt, found, front, herself, just, land, playing, sky, small, special, spent, star, stars, still, stories, storm, story, stuffed, told, world",19,"carrying, change, child, dreaming, each, feeling, listening, long, playing, sang, she, shine, ship, something, that, then, when, with, young",13,"adventure, alive, brave, came, life, made, name, picture, safe, shine, time, village, wise",21,"always, between, day, dreaming, dreams, each, faraway, feeling, heard, heart, instead, knight, new, night, playing, rain, real, realized, sailed, stories, way",21,"adventure, around, carrying, colors, curious, faraway, garden, girl, heard, heart, her, herself, hours, picture, star, stars, stories, storm, story, wonder, world",13,"about, around, clouds, curious, faraway, found, hours, joy, now, owl, saw, toys, young",35,"about, across, adventure, ago, alive, always, animals, around, began, between, carrying, colors, curious, dreaming, faraway, feeling, garden, happy, herself, instead, lila, listening, magic, nestled, opened, picture, playing, rabbit, realized, something, special, stories, story, village, wonder",27,19,13,13,35,21,21,,19,,1,21,truefoundry,openai-group/gpt-4.1,The story is incomplete and abruptly cuts off mid-sentence without a clear ending.,"The narrative is confusing, jumps between ideas, and lacks internal consistency.","The story contains many words and spelling patterns above the diphthongs and consonant digraphs level, such as 'village,' 'curious,' 'realized,' and 'adventure.'",Diphthongs and consonant digraphs are rarely present and not emphasized throughout the story.,"The story fails to meet the behavior specification due to incompleteness, lack of coherence, poor decodability, and insufficient target phonics emphasis.","{""narrative_completeness"": {""score"": 0, ""justification"": ""The story is incomplete and abruptly cuts off mid-sentence without a clear ending.""}, ""coherence"": {""score"": 0, ""justification"": ""The narrative is confusing, jumps between ideas, and lacks internal consistency.""}, ""decodability_adherence"": {""score"": 0, ""justification"": ""The story contains many words and spelling patterns above the diphthongs and consonant digraphs level, such as 'village,' 'curious,' 'realized,' and 'adventure.'""}, ""target_phonics_pattern_emphasis"": {""score"": 0, ""justification"": ""Diphthongs and consonant digraphs are rarely present and not emphasized throughout the story.""}, ""overall_spec_adherence"": {""score"": 0, ""justification"": ""The story fails to meet the behavior specification due to incompleteness, lack of coherence, poor decodability, and insufficient target phonics emphasis.""}}"
tuned,diphthongs_digraphs_1,1,1001,"diphthongs, consonant digraphs",0.9615,0.0385,0.5,0,0,78,0,0,0,0,0,0,58,6,diphthongs,0.0385,0.0517,0.9483,0.9615,3,3,1.0,1,"moonlight, outside, title",2,1,consonant digraphs,diphthongs,,1,The Big Dog,23,"at, big, but, by, can, cat, dog, get, go, has, he, his, hot, if, is, it, likes, nap, no, on, run, sun, will",7,"fast, help, jump, lost, play, stay, trip",8,"back, long, she, shines, them, when, while, white",5,"like, outside, safe, while, white",9,"high, moonlight, night, play, rain, stay, tail, tails, way",1,fur,1,outside,3,"moonlight, outside, title",7,8,1,5,3,1,23,,8,,1,9,truefoundry,openai-group/gpt-4.1,"The story lacks a clear beginning, middle, and ending, instead presenting a series of loosely connected statements.","The story is confusing and disjointed, with unclear relationships between events and characters.","The story uses many words outside the diphthongs and consonant digraphs progression, such as 'outside,' 'doesn’t,' and 'moonlight.'","There is almost no emphasis on diphthongs or consonant digraphs, with very few target-pattern words present.","The story fails to meet the behavior specification in narrative structure, coherence, decodability, and target phonics emphasis.","{""narrative_completeness"": {""score"": 0, ""justification"": ""The story lacks a clear beginning, middle, and ending, instead presenting a series of loosely connected statements.""}, ""coherence"": {""score"": 0, ""justification"": ""The story is confusing and disjointed, with unclear relationships between events and characters.""}, ""decodability_adherence"": {""score"": 0, ""justification"": ""The story uses many words outside the diphthongs and consonant digraphs progression, such as 'outside,' 'doesn’t,' and 'moonlight.'""}, ""target_phonics_pattern_emphasis"": {""score"": 0, ""justification"": ""There is almost no emphasis on diphthongs or consonant digraphs, with very few target-pattern words present.""}, ""overall_spec_adherence"": {""score"": 0, ""justification"": ""The story fails to meet the behavior specification in narrative structure, coherence, decodability, and target phonics emphasis.""}}"
base,diphthongs_digraphs_1,2,1002,"diphthongs, consonant digraphs",0.8294,0.1706,1.0,1,0,170,4,1,1,0,1,1,110,6,diphthongs,0.1706,0.2455,0.7545,0.8294,29,27,1.0,1,"after, another, around, carrots, decided, even, farmer, farmers, faster, flowers, garden, growing, happy, hopscotch, morning, mr, other, others, piggy, planted, special, strawberries, sunny, together, tomatoes, vegetables, water",2,2,"diphthongs, consonant digraphs",,,1,The Sunny Farm and Its Friends,21,"big, but, full, fun, games, go, had, hands, he, him, his, in, it, its, lived, lot, named, on, own, pig, pot",23,"and, around, blue, bridge, brought, built, crops, flowers, found, friends, group, growing, left, old, planted, plants, play, played, small, special, still, strawberries, went",14,"another, bunch, chased, each, fish, growing, hopscotch, long, morning, others, than, then, together, with",5,"came, home, made, more, time",14,"blue, boat, built, day, each, friends, learned, new, play, played, see, seeds, strawberries, tomatoes",18,"after, another, around, carrots, far, farm, farmer, farmers, faster, flowers, for, garden, learned, more, morning, others, strawberries, together",11,"around, brought, flowers, found, group, growing, how, now, strawberries, toy, toys",27,"after, another, around, carrots, decided, even, farmer, farmers, faster, flowers, garden, growing, happy, hopscotch, morning, mr, other, others, piggy, planted, special, strawberries, sunny, together, tomatoes, vegetables, water",23,14,11,5,27,18,21,,14,,1,14,truefoundry,openai-group/gpt-4.1,"The story has a beginning, middle, and end, but transitions are weak and the ending is abrupt.","The story is mostly understandable but contains some confusing elements, such as unclear references to toys and activities.","The story contains many words above the diphthongs and consonant digraphs level, such as 'vegetables,' 'strawberries,' 'garden,' and 'special,' which are not decodable at the requested level.","There are a few words with consonant digraphs (fish, ship, bridge) and diphthongs (toy), but these patterns are not emphasized or repeated throughout.",The story partially meets the behavior specification but falls short in decodability and consistent target phonics emphasis.,"{""narrative_completeness"": {""score"": 1, ""justification"": ""The story has a beginning, middle, and end, but transitions are weak and the ending is abrupt.""}, ""coherence"": {""score"": 1, ""justification"": ""The story is mostly understandable but contains some confusing elements, such as unclear references to toys and activities.""}, ""decodability_adherence"": {""score"": 0, ""justification"": ""The story contains many words above the diphthongs and consonant digraphs level, such as 'vegetables,' 'strawberries,' 'garden,' and 'special,' which are not decodable at the requested level.""}, ""target_phonics_pattern_emphasis"": {""score"": 1, ""justification"": ""There are a few words with consonant digraphs (fish, ship, bridge) and diphthongs (toy), but these patterns are not emphasized or repeated throughout.""}, ""overall_spec_adherence"": {""score"": 1, ""justification"": ""The story partially meets the behavior specification but falls short in decodability and consistent target phonics emphasis.""}}"
tuned,diphthongs_digraphs_1,2,1002,"diphthongs, consonant digraphs",0.9505,0.0495,0.5,0,0,101,4,1,1,2,0,0,65,6,diphthongs,0.0495,0.0769,0.9231,0.9505,5,5,1.0,1,"after, beside, inside, title, water",2,1,consonant digraphs,diphthongs,,1,The Fish and the Boat,30,"asked, ben, big, by, dad, dog, fun, get, got, had, hat, he, him, his, if, in, is, it, log, nap, no, off, oh, on, ran, red, sam, sat, top, up",6,"and, cried, hand, help, trip, went",5,"fish, long, this, when, while",4,"beside, inside, time, while",6,"boat, cried, new, sea, see, took",2,"after, for",1,saw,5,"after, beside, inside, title, water",6,5,1,4,5,2,30,,5,,1,6,truefoundry,openai-group/gpt-4.1,"The story has a loose beginning, middle, and end, but transitions are weak and the ending is abrupt.","The story is mostly understandable but contains confusing elements, such as the unclear role of the dog and inconsistent actions.","The vocabulary stays within or below the requested phonics progression, with no above-level words.","Diphthongs and consonant digraphs are almost entirely absent from the story, with only 'boat' and 'fish' (in the title) as possible examples.",The story fails to emphasize the requested phonics patterns and only partially meets the other requirements.,"{""narrative_completeness"": {""score"": 1, ""justification"": ""The story has a loose beginning, middle, and end, but transitions are weak and the ending is abrupt.""}, ""coherence"": {""score"": 1, ""justification"": ""The story is mostly understandable but contains confusing elements, such as the unclear role of the dog and inconsistent actions.""}, ""decodability_adherence"": {""score"": 2, ""justification"": ""The vocabulary stays within or below the requested phonics progression, with no above-level words.""}, ""target_phonics_pattern_emphasis"": {""score"": 0, ""justification"": ""Diphthongs and consonant digraphs are almost entirely absent from the story, with only 'boat' and 'fish' (in the title) as possible examples.""}, ""overall_spec_adherence"": {""score"": 0, ""justification"": ""The story fails to emphasize the requested phonics patterns and only partially meets the other requirements.""}}"
