category,rank,prompt_id,generation_id,seed,target_phonics,n_targets,likely_cause,notes,compliance_delta,base_decodability_compliance,tuned_decodability_compliance,base_above_level_rate,tuned_above_level_rate,base_weighted_above_level_rate,tuned_weighted_above_level_rate,base_target_satisfaction_rate,tuned_target_satisfaction_rate,base_word_count,tuned_word_count,tuned_decodability_adherence_score,tuned_target_phonics_pattern_emphasis_score,tuned_coherence_score,tuned_narrative_completeness_score,tuned_overall_spec_adherence_score,base_decodability_adherence_score,base_target_phonics_pattern_emphasis_score,base_coherence_score,base_narrative_completeness_score,tuned_story,base_story,tuned_decodability_adherence_justification,tuned_target_phonics_pattern_emphasis_justification,tuned_coherence_justification,tuned_narrative_completeness_justification
largest_compliance_gain,1,blends_digraphs_1,1,1001,"consonant blends, consonant digraphs",2,generation behavior,Largest paired gain in objective decodability_compliance.,0.4282,0.4977,0.9259,0.5023,0.0741,1.9302,0.2593,1.0,0.0,215,27,2,1,0,0,0,0,0,0,0,"Title: The Frog

The frog is in the pond.  
The frog jumps to the moon.  
The sun shines on the frog.  
The dog runs past the pond.","**The Happy Forest Adventure**

One day, a little red squirrel named Mira noticed something unusual in her favorite forest. She found a small tree with big leaves and a bright red apple on top of it. As she looked around, she saw a new animal—a curious yellow bear who was always looking for adventure.

The bear had been following Mira all over the forest, but now they were together! They both wanted to explore more. After a while, Mira helped the bear find a safe place to rest by building a tiny nest made from sticks and leaves. The bear said, “I can take you somewhere,” and they both started walking through the forest.

As they walked, they met many interesting creatures: a wise old owl, a clever fox, and a funny eagle. They learned about different animals and how they lived. Mira was es…",All vocabulary stays within the allowed phonics progression of consonant blends and digraphs.,"There are a few words with consonant blends and digraphs, but the patterns are not emphasized throughout.",The events are disjointed and do not form a logical or understandable sequence.,"The story lacks a clear beginning, middle, and ending, and reads as a disconnected set of statements."
largest_compliance_gain,2,final_e_blends_1,1,1001,"final-e words, consonant blends",2,generation behavior,Largest paired gain in objective decodability_compliance.,0.3084,0.6202,0.9286,0.3798,0.0714,1.125,0.1786,1.0,0.0,208,28,2,0,0,0,0,0,0,1,0,"Title: The Big Bat

The bat is big.  
The bat has a lot of fun.  
The bats can play in the sun.  
There was a bat at home.","**The Happy Garden of Lila**

Lila was a young girl who lived in a small garden. She loved to play with her friends and her dog, Max. One day, they decided to go on an adventure together. They wanted to visit a place called ""The Grove of Echoes."" There, they would find old books, shiny stones, and colorful flowers.

As they walked through the grove, they met a wise old man named Grumble. He told them about a magical tree that could bring new stories to life. The tree had many fruits, each one different every year. But the most interesting fruit was a cherry that said, “I am happy.” 

Max got a cherry, and soon after, they found more stories hidden within the trees. Each tree told a tale from their lives. The first one was a cat with a big tail, but now it's a friendly squirrel. The second…","All vocabulary stays within the short-vowel and basic consonant patterns, which is below the requested ceiling.",Neither final-e words nor consonant blends are present in the story.,The sentences are disjointed and do not form a logical or consistent narrative.,"The story lacks a clear beginning, middle, and ending, and reads as a disconnected set of statements."
largest_compliance_gain,3,vowel_teams_digraphs_1,1,1001,"vowel teams, consonant digraphs",2,conflicting training objectives,Largest paired gain in objective decodability_compliance.,0.3025,0.6571,0.9596,0.3429,0.0404,0.9029,0.101,1.0,0.5,175,99,0,0,1,1,0,0,1,1,2,"Title: The Boat Trip

The dad took his son to the lake. “Can you help me pick up my hat?” asked his son. “Yes,” said his dad. “I need to get it on top of the boat.” “Oh no!” cried his son. He didn’t know how to get it off the boat. “Let’s go back!” said his dad, but he couldn’t stop the big grin on his face. His son got it on the boat again. “Now I can put it on top! Oh yeah!” said his son. Then he was glad he had the hat on the boat.","**The Boat Adventure**

It was a sunny afternoon, and the sun was shining brightly outside the old wooden house where Lily lived. She had always loved to go on adventures—especially going on trips like this. So she decided to take a small boat to explore the river nearby.

Lily found a little old man who owned a boat. He said he used to sail far away for fun. “I can see the big ones,” he said, pointing at the water. “You’ll be there soon.”

As they traveled, they saw many interesting things. They met a group of fish that were so happy, they sang songs. Then they saw a ship that was very long and strong. It carried them all around the river. After a while, they reached the other side.

They spent the day exploring the river and meeting new friends. At night, Lily felt very proud of her adv…","The story uses many words above the vowel teams and consonant digraphs level, such as 'took', 'lake', 'again', and 'couldn’t'.",Vowel teams and consonant digraphs are almost entirely absent from the story.,The story is mostly understandable but contains confusing actions regarding the hat and the boat.,"The story has a beginning, middle, and end, but transitions are weak and the resolution is unclear."
largest_compliance_gain,4,short_vowels_1,2,1002,short-vowel words,1,generation behavior,Largest paired gain in objective decodability_compliance.,0.2956,0.3869,0.6825,0.6131,0.3175,2.5779,0.9683,1.0,1.0,199,63,0,0,0,0,0,0,0,1,0,"Title: The Cat and the Dog

The dog is playing outside when it sees the cat.
The cat jumps onto the dog’s back to play.
When they get home, the dog will run fast for the cat.
“Can you help me get the cat,” said the dog.
“Yes!” ran the cat up high and down.
The cat was so happy to see them!","**The Happy Forest of Squirrels**

In the heart of the forest lived a small group of squirrels. They had long been friends, sharing their favorite places—honeycombs, nests, and trees. The main tree was called Maple Tree, which had many holes filled with seeds from all the fruits grown by the squirrels. 

One day, a new squirrel came to join them. She was named Sparky. She loved singing songs, playing games, and exploring new places. Soon after, more squirrels joined the group, each bringing their own unique skills and ideas. There were no longer just the usual ones—they were all part of a big family.

One morning, the group went on a journey. They traveled through different kinds of woods, meeting birds, animals, and even a river. Along the way, they learned about nature and made new frie…","The story includes above-level words such as 'playing,' 'outside,' 'jumps,' 'onto,' 'back,' 'home,' and 'happy,' which are not short-vowel words.","Short-vowel words are rarely present, and most words do not practice the target pattern.","The story is confusing, with unclear actions and dialogue that do not logically connect, making it difficult to follow.","The story is disjointed, lacks a clear sequence of events, and does not have a clear beginning, middle, and ending."
largest_compliance_gain,5,short_vowels_1,1,1001,short-vowel words,1,training-data coverage,Largest paired gain in objective decodability_compliance.,0.2658,0.4842,0.75,0.5158,0.25,2.0316,0.8214,1.0,1.0,190,28,1,1,2,1,1,0,0,1,2,"Title: The Cat and the Sun

The sun is shining bright.  
A cat sits on the mat.  
The cat can run fast!  
The sun has made it warm.","**The Happy Rabbit Who Jumped to the Moon**

One day, there was a rabbit named Max who lived on a small hill near a mountain. One morning, he noticed something unusual—there were stars shining bright above the hills, and a strange shape of a little moon that had been up high for a long time.

Max was curious, so he climbed up the hill and looked at the sky. He saw a big, round thing moving through the air like it was going somewhere far away. It was a starry moon, but instead of a full moon, it was just a tiny bit smaller and brighter than usual. The moon was glowing because it wasn't dark anymore.

Now the next day, Max went back home. But this time, he didn’t go back down. Instead, he jumped into a tall tree, reached out to the top, and found himself flying across the sky once more.

He…","Most words are short-vowel, but 'bright' and 'shining' are above the short-vowel level.",Short-vowel words appear several times but are not strongly emphasized throughout.,The story is easy to follow and internally consistent.,The story has a beginning and middle but lacks a clear ending or resolution.
least_compliance_gain,1,multisyllabic_vowel_teams_r_controlled_1,1,1001,"multisyllabic words, vowel teams, r-controlled vowels",3,rule-based evaluation limitation,Smallest paired compliance_delta. Ceiling effect: both models already near-perfect on this metric.,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6667,202,139,1,1,2,2,1,0,0,0,0,"Title: The Family Trip to the Zoo

Mom and Dad had a big day at the zoo. They went on a trip with their kids. The kids were so happy when they saw animals!  
The kids ran up to see what animals lived there. There was a big red dog who ran fast! It did not stop running until it got to a big blue duck that sat on top of a log.  
Dad had a fun time taking pictures. “What do you think this is?” asked Mom.  
“Is this a frog?” said Sam.  
“This is a turtle,” said Tom.  
“Are these all new animals for us?” asked Sam.  
They got lots of questions about why these animals live here.  
Then, they had lunch and got to nap. They had a lot to enjoy and had an amazing day!","**The Happy Garden of Lila**

In a small village, there lived a girl named Lila who loved to read books and learn new things. One day, she found a book called *The Magic Treehouse* which told her about a forest full of animals and plants. The trees had big leaves, and the flowers were colorful. She learned that the forest was home for many different creatures—birds, squirrels, rabbits, and more.

One morning, Lila discovered a special plant called *Corn*. This plant had a tall stalk and a sweet flavor. It also had a lot of seeds inside, so it could grow a garden. Lila thought this was very fun.

Then one day, Lila met a wise old man who said something like, ""You can be curious and learn from everyone."" He gave her a small box with a map and a basket filled with food. With this, Lila becam…","While most vocabulary is appropriate, there are several words (e.g., 'amazing', 'pictures', 'questions', 'enjoy') that contain advanced patterns beyond the requested progression.","There are a few multisyllabic words and some r-controlled vowels, but vowel teams are almost entirely absent and the target patterns are not strongly emphasized.","The story is easy to follow and internally consistent, describing a family trip to the zoo with logical events.","The story has a clear beginning (arriving at the zoo), middle (exploring animals and asking questions), and ending (having lunch and reflecting on the day)."
least_compliance_gain,2,multisyllabic_vowel_teams_r_controlled_1,2,1002,"multisyllabic words, vowel teams, r-controlled vowels",3,rule-based evaluation limitation,Smallest paired compliance_delta. Ceiling effect: both models already near-perfect on this metric.,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,209,77,2,0,2,1,1,0,0,0,0,"Title: The Farmhouse

The barn was big. It had a shed for hay. The yard was wide. The kids got to run around.  
A duck flew from the barn to get on a log. A chicken came up from the coop to feed the ducks.  
Mom made pancakes. Dad made a pie. The kids were playing near the pond.  
At night, they went back to sleep. They all fell asleep when they looked out at their home.","**The Forest Hunt**

In the heart of the forest, there lived a young fox named Timmy. One day, he noticed a strange sight—there was a big, red squirrel hiding under a bush. Timmy thought it was just a normal squirrel, but then he saw something more important. A group of birds were flying high above the trees, their feathers shimmering like stars. They were all on a long journey to find food for themselves.

Timmy followed them, and soon they met a wise old owl who had been listening for a long time. The owl told Timmy that the forest was full of hidden treasures, and each one could be found by following the clues given. After much searching, Timmy found a map marked with a special symbol—a number that said ""Rabbit"" in bold letters next to it.

He realized that this was a multisyllabic wor…",All vocabulary stays within or below the requested phonics progression.,"The story rarely uses multisyllabic words, vowel teams, or r-controlled vowels, missing the requested emphasis.",The story is easy to follow and internally consistent.,"The story has a beginning, middle, and end, but transitions are weak and the ending is abrupt."
least_compliance_gain,3,multisyllabic_vowel_teams_r_controlled_1,3,1003,"multisyllabic words, vowel teams, r-controlled vowels",3,rule-based evaluation limitation,Smallest paired compliance_delta. Ceiling effect: both models already near-perfect on this metric.,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,138,76,1,0,0,0,0,0,1,2,2,"Title: A Family on the Farm

Dad is at the barn with his kids, while Mom is reading to them.  
The dogs come and run up to the barn when they hear the news.  
Mom says to Dad, “You can go back home if you want!”  
“Go! I am going to be there,” said Dad.  
The children ran out of the barn, but they did not forget about dad.  
They will visit their grandparent this week!","**The Forest's Whisper**

In a small forest where the trees hummed with old songs, there lived a curious young squirrel named Tim. One day, he noticed something unusual: a strange shape was growing in the moss under a tree. The next morning, he found a new creature — a giant raccoon! Tim felt so happy to see such an animal. But then he heard a voice saying, *""Look at the plant!""* And just then, a leaf fell from the oak tree, revealing a map of a hidden path leading deep into the forest. As they walked along, Tim saw many things — a river, a bridge, a pond full of water, and even a big stone made of wood. He learned how to listen carefully and find what others didn't. Now, he knew more about the world than ever before. 🌿✨","Most vocabulary stays within the requested phonics progression, but some words like 'news' and 'forget' are above the target level.","There is minimal use of multisyllabic words, vowel teams, or r-controlled vowels, with almost no repetition or emphasis.","The story is confusing, with unclear actions and relationships between events and characters.","The story lacks a clear beginning, middle, and ending, and feels disjointed and incomplete."
least_compliance_gain,4,final_e_blends_1,3,1003,"final-e words, consonant blends",2,conflicting training objectives,Smallest paired compliance_delta. Tuned absolute compliance remains relatively weak.,0.0814,0.6259,0.7073,0.3741,0.2927,1.0816,0.8415,1.0,0.5,147,82,0,0,0,1,0,0,0,2,2,"Title: A Trip to the Farmyard

The family has just left their house for a trip to the farmyard.  
They will ride on their horses to see the animals there!  
As they ride by the barn, they spot many small birds on the grass.  
They run into a big red cow who looks very sad.  
The cows are happy to be at the farm, so the cows give them a big hug.  
Then they look back at the farm and say goodbye!","**The Happy Forest Adventure**

In a small forest where the trees were all tall and green, there lived a young fox named Max. One day, Max heard a sound so loud it made his heart jump. He ran to the edge of the forest and saw a big white bear standing on a high hill. The bear was full of energy and had a shiny red fur.

Max thought, “I wonder if I can help this bear.” He decided to go with the bear and helped him find food for himself. Together they found a big pile of apples, bananas, and nuts.

Now, when Max looked back, he saw the bear still happy and the forest full of wild animals. They shared their favorite foods and stayed together long after the bear left.

That's how the forest continued to grow and prosper, filled with joy and friendship. 🌟","The story uses above-level vocabulary and multisyllabic words like 'family,' 'animals,' and 'goodbye,' which exceed the requested phonics progression.",There are almost no final-e words or consonant blends practiced in the story.,"The story is confusing and internally inconsistent, especially with the cows giving hugs and being both sad and happy.","The story has a beginning, middle, and end, but transitions are weak and the ending is abrupt."
least_compliance_gain,5,r_controlled_blends_1,3,1003,"r-controlled vowels, consonant blends",2,conflicting training objectives,Smallest paired compliance_delta. Tuned absolute compliance remains relatively weak.,0.1119,0.7186,0.8305,0.2814,0.1695,0.5389,0.322,1.0,1.0,167,59,1,1,2,1,1,0,1,2,2,"Title: A Trip to the Farmyard

The family has just left their house for a trip to the farmyard.  
They will go into the barn to see the animals there.  
As they walk through the yard, they spot many small birds on the tree tops.  
The family can’t wait to see how much fun it is to be outside!","**The Forest's Whisper**

In a small forest where the trees hummed with old songs, there lived a young fox named Luna. One day, she heard a soft sound from a tree high above—like a melody. The tree was full of tiny creatures, all curious and happy. They danced together, their colors flashing like stars.

Luna followed them to a big oak tree, which had many branches. She found a hidden cave filled with shiny rocks. Inside, there were plants growing tall, and a big red bird sitting on its wing. The birds sang again, and so did Luna.

As the days passed, more animals came to the forest. A wise owl told her about a secret map. With each step, they could find answers. But one night, when the forest trembled with magic, Luna realized something new: every creature in the forest knew that magic w…","Most vocabulary is within scope, but words like 'family', 'animals', and 'outside' are above the requested phonics progression.","There are a few examples of r-controlled vowels and consonant blends, but they are not emphasized or repeated throughout.",The story is easy to follow and internally consistent.,The story has a beginning and middle but lacks a clear ending or resolution.
