model,prompt_id,generation_id,seed,target_phonics,spec_adherence_score,robustness_score,task_quality_score,consistency_score,spec_adherence_justification,robustness_justification,task_quality_justification,consistency_justification,raw_story_judge_json,raw_consistency_judge_json
base,blends_digraphs_1,1,1001,"consonant blends, consonant digraphs",0,1,0,0,"The story uses much above-level vocabulary and sentence structure, making it unreadable for students at this phonics stage.",The story is mostly coherent but is truncated and ends mid-sentence.,It does not provide accessible or focused practice with consonant blends and digraphs for early readers.,All three generations fail to produce consistently decodable text focused on consonant blends and digraphs.,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses much above-level vocabulary and sentence structure, making it unreadable for students at this phonics stage.""}, ""robustness"": {""score"": 1, ""justification"": ""The story is mostly coherent but is truncated and ends mid-sentence.""}, ""task_quality"": {""score"": 0, ""justification"": ""It does not provide accessible or focused practice with consonant blends and digraphs for early readers.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to produce consistently decodable text focused on consonant blends and digraphs.""}}"
tuned,blends_digraphs_1,1,1001,"consonant blends, consonant digraphs",2,2,1,1,The story is fully decodable at the target level with a natural title and simple narrative.,"The text is clean, coherent, and free from errors or formatting issues.",It is readable but offers limited practice with blends and digraphs beyond 'frog' and 'snake.',"All three generations attempt to use simple language and some words with consonant blends and digraphs, but there is inconsistency in both decodability and focus on the target patterns.","{""spec_adherence"": {""score"": 2, ""justification"": ""The story is fully decodable at the target level with a natural title and simple narrative.""}, ""robustness"": {""score"": 2, ""justification"": ""The text is clean, coherent, and free from errors or formatting issues.""}, ""task_quality"": {""score"": 1, ""justification"": ""It is readable but offers limited practice with blends and digraphs beyond 'frog' and 'snake.'""}}","{""consistency"": {""score"": 1, ""justification"": ""All three generations attempt to use simple language and some words with consonant blends and digraphs, but there is inconsistency in both decodability and focus on the target patterns.""}}"
base,blends_digraphs_1,2,1002,"consonant blends, consonant digraphs",0,2,0,0,"The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.",The story is coherent and free of formatting or structural errors.,It provides little useful practice with blends or digraphs and is not accessible for students at this level.,All three generations fail to produce consistently decodable text focused on consonant blends and digraphs.,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent and free of formatting or structural errors.""}, ""task_quality"": {""score"": 0, ""justification"": ""It provides little useful practice with blends or digraphs and is not accessible for students at this level.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to produce consistently decodable text focused on consonant blends and digraphs.""}}"
tuned,blends_digraphs_1,2,1002,"consonant blends, consonant digraphs",1,2,1,1,The story is mostly decodable but uses above-level words like 'together' and lacks strong target pattern emphasis.,"The text is clean, coherent, and free of errors or formatting issues.","It offers minimal practice with blends and digraphs, limiting its effectiveness for targeted phonics instruction.","All three generations attempt to use simple language and some words with consonant blends and digraphs, but there is inconsistency in both decodability and focus on the target patterns.","{""spec_adherence"": {""score"": 1, ""justification"": ""The story is mostly decodable but uses above-level words like 'together' and lacks strong target pattern emphasis.""}, ""robustness"": {""score"": 2, ""justification"": ""The text is clean, coherent, and free of errors or formatting issues.""}, ""task_quality"": {""score"": 1, ""justification"": ""It offers minimal practice with blends and digraphs, limiting its effectiveness for targeted phonics instruction.""}}","{""consistency"": {""score"": 1, ""justification"": ""All three generations attempt to use simple language and some words with consonant blends and digraphs, but there is inconsistency in both decodability and focus on the target patterns.""}}"
base,blends_digraphs_1,3,1003,"consonant blends, consonant digraphs",0,2,0,0,The story uses advanced vocabulary and sentence structures far beyond early decodable text level.,"The story is coherent, complete, and free of formatting or structural errors.",It is not suitable for phonics practice due to above-level words and complex sentences.,All three generations fail to produce consistently decodable text focused on consonant blends and digraphs.,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses advanced vocabulary and sentence structures far beyond early decodable text level.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free of formatting or structural errors.""}, ""task_quality"": {""score"": 0, ""justification"": ""It is not suitable for phonics practice due to above-level words and complex sentences.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to produce consistently decodable text focused on consonant blends and digraphs.""}}"
tuned,blends_digraphs_1,3,1003,"consonant blends, consonant digraphs",1,2,1,1,The story uses mostly decodable words but includes above-level vocabulary and complex sentence structures for this stage.,"The story is coherent, complete, and free from formatting or logical errors.","There is some practice with blends and digraphs, but not enough emphasis or repetition for strong phonics learning.","All three generations attempt to use simple language and some words with consonant blends and digraphs, but there is inconsistency in both decodability and focus on the target patterns.","{""spec_adherence"": {""score"": 1, ""justification"": ""The story uses mostly decodable words but includes above-level vocabulary and complex sentence structures for this stage.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free from formatting or logical errors.""}, ""task_quality"": {""score"": 1, ""justification"": ""There is some practice with blends and digraphs, but not enough emphasis or repetition for strong phonics learning.""}}","{""consistency"": {""score"": 1, ""justification"": ""All three generations attempt to use simple language and some words with consonant blends and digraphs, but there is inconsistency in both decodability and focus on the target patterns.""}}"
base,diphthongs_digraphs_1,1,1001,"diphthongs, consonant digraphs",0,1,0,0,The story uses advanced vocabulary and complex sentences far beyond decodable text for this phonics level.,The story is mostly coherent but is truncated and ends abruptly.,It is not suitable for phonics practice due to above-level words and insufficient focus on target patterns.,"Across all three generations, the stories do not consistently produce in-level decodable text focused on diphthongs and consonant digraphs.","{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses advanced vocabulary and complex sentences far beyond decodable text for this phonics level.""}, ""robustness"": {""score"": 1, ""justification"": ""The story is mostly coherent but is truncated and ends abruptly.""}, ""task_quality"": {""score"": 0, ""justification"": ""It is not suitable for phonics practice due to above-level words and insufficient focus on target patterns.""}}","{""consistency"": {""score"": 0, ""justification"": ""Across all three generations, the stories do not consistently produce in-level decodable text focused on diphthongs and consonant digraphs.""}}"
tuned,diphthongs_digraphs_1,1,1001,"diphthongs, consonant digraphs",0,0,0,0,"The story lacks target diphthongs, has confusing pronoun use, and is not decodable for the intended level.","The text is confusing, contradictory, and contains unclear references, making it unusable as instructional text.",It does not provide practice with diphthongs or consonant digraphs and is not suitable for student learning.,None of the three generations consistently produce decodable text focused on diphthongs and consonant digraphs.,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story lacks target diphthongs, has confusing pronoun use, and is not decodable for the intended level.""}, ""robustness"": {""score"": 0, ""justification"": ""The text is confusing, contradictory, and contains unclear references, making it unusable as instructional text.""}, ""task_quality"": {""score"": 0, ""justification"": ""It does not provide practice with diphthongs or consonant digraphs and is not suitable for student learning.""}}","{""consistency"": {""score"": 0, ""justification"": ""None of the three generations consistently produce decodable text focused on diphthongs and consonant digraphs.""}}"
base,diphthongs_digraphs_1,2,1002,"diphthongs, consonant digraphs",1,2,1,0,The story contains above-level vocabulary and complex sentences that make it challenging for early decodable readers.,"The story is coherent, complete, and free from formatting or logical errors.","Target patterns appear but are not emphasized enough, and the text is not fully accessible for decodable practice.","Across all three generations, the stories do not consistently produce in-level decodable text focused on diphthongs and consonant digraphs.","{""spec_adherence"": {""score"": 1, ""justification"": ""The story contains above-level vocabulary and complex sentences that make it challenging for early decodable readers.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free from formatting or logical errors.""}, ""task_quality"": {""score"": 1, ""justification"": ""Target patterns appear but are not emphasized enough, and the text is not fully accessible for decodable practice.""}}","{""consistency"": {""score"": 0, ""justification"": ""Across all three generations, the stories do not consistently produce in-level decodable text focused on diphthongs and consonant digraphs.""}}"
tuned,diphthongs_digraphs_1,2,1002,"diphthongs, consonant digraphs",1,2,1,0,"The story is decodable but barely uses diphthongs or consonant digraphs, limiting its value for targeted practice.","The text is coherent, complete, and free of errors or formatting issues.","It offers minimal practice with the target patterns, reducing its effectiveness as a focused learning tool.",None of the three generations consistently produce decodable text focused on diphthongs and consonant digraphs.,"{""spec_adherence"": {""score"": 1, ""justification"": ""The story is decodable but barely uses diphthongs or consonant digraphs, limiting its value for targeted practice.""}, ""robustness"": {""score"": 2, ""justification"": ""The text is coherent, complete, and free of errors or formatting issues.""}, ""task_quality"": {""score"": 1, ""justification"": ""It offers minimal practice with the target patterns, reducing its effectiveness as a focused learning tool.""}}","{""consistency"": {""score"": 0, ""justification"": ""None of the three generations consistently produce decodable text focused on diphthongs and consonant digraphs.""}}"
