model,prompt_id,generation_id,seed,target_phonics,target_phonics_coverage,off_target_phonics_rate,on_level_rate,weighted_above_level_rate,title_present,sentence_count,no_duplicate_sentences,has_duplicate_sentences,complete_output,incomplete_output,no_phonics_leakage,phonics_leakage,word_count,spec_adherence_score,robustness_score,task_quality_score,consistency_score,spec_adherence_justification,robustness_justification,task_quality_justification,consistency_justification,detected_title,duplicate_sentence_norms,incomplete_reasons,phonics_leakage_terms,above_level_words,permitted_ceiling_stage,raw_story_judge_json,raw_consistency_judge_json,prompt,story
base,blends_digraphs_1,1,1001,"consonant blends, consonant digraphs",1.0,0.5023,0.4977,1.9302,1,14,1,0,0,1,1,0,215,0,1,0,0,"The story uses much above-level vocabulary and sentence structure, making it unreadable for students at this phonics stage.",The story is mostly coherent but is truncated and ends mid-sentence.,It does not provide accessible or focused practice with consonant blends and digraphs for early readers.,All three generations fail to produce consistently decodable text focused on consonant blends and digraphs.,The Happy Forest Adventure,,"ends_mid_phrase,no_terminal_punctuation",,"about, adventure, adventures, after, all, always, animal, animals, apple, around, bear, because, better, bigger, bright, building, built, came, clever, creatures, curious, day, decided, different, each, eagle, especially, explore, favorite, first, following, for, forest, found, friendship, funny, future, gave, happy, helping, her, home, how, instead, interesting, knew, learned, leaves, leaving, like, little, looked, looking, made, make, many, mira, more, needed, new, none, noticed, now, other, over, owl, place, safe, saw, share, shiny, small, something, somewhere, special, squirrel, started, stay, take, time, tiny, together, tool, tree, unusual, walked, walking, wanted, while, wise, wooden, world, yellow",2,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses much above-level vocabulary and sentence structure, making it unreadable for students at this phonics stage.""}, ""robustness"": {""score"": 1, ""justification"": ""The story is mostly coherent but is truncated and ends mid-sentence.""}, ""task_quality"": {""score"": 0, ""justification"": ""It does not provide accessible or focused practice with consonant blends and digraphs for early readers.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to produce consistently decodable text focused on consonant blends and digraphs.""}}","Write a decodable story.

Emphasize these phonics patterns:
- consonant blends
- consonant digraphs

Here are some example words containing these patterns:
- consonant blends: stop, frog, black, plant
- consonant digraphs: ship, fish, that, chop

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","**The Happy Forest Adventure**

One day, a little red squirrel named Mira noticed something unusual in her favorite forest. She found a small tree with big leaves and a bright red apple on top of it. As she looked around, she saw a new animal—a curious yellow bear who was always looking for adventure.

The bear had been following Mira all over the forest, but now they were together! They both wanted to explore more. After a while, Mira helped the bear find a safe place to rest by building a tiny nest made from sticks and leaves. The bear said, “I can take you somewhere,” and they both started walking through the forest.

As they walked, they met many interesting creatures: a wise old owl, a clever fox, and a funny eagle. They learned about different animals and how they lived. Mira was especially happy because she felt like she was helping make the world better.

Then came the time when they needed to go home. But instead of leaving, they decided to stay and share their friendship. Together, they built a bigger nest and gave the bear a special gift—a shiny wooden stick that would be a great tool for future adventures.

At first, none of them knew each other, but"
tuned,blends_digraphs_1,1,1001,"consonant blends, consonant digraphs",0.5,0.1429,0.8571,0.4643,1,4,1,0,1,0,1,0,28,2,2,1,1,The story is fully decodable at the target level with a natural title and simple narrative.,"The text is clean, coherent, and free from errors or formatting issues.",It is readable but offers limited practice with blends and digraphs beyond 'frog' and 'snake.',"All three generations attempt to use simple language and some words with consonant blends and digraphs, but there is inconsistency in both decodability and focus on the target patterns.",The Frog,,,,"night, over, snake, title",2,"{""spec_adherence"": {""score"": 2, ""justification"": ""The story is fully decodable at the target level with a natural title and simple narrative.""}, ""robustness"": {""score"": 2, ""justification"": ""The text is clean, coherent, and free from errors or formatting issues.""}, ""task_quality"": {""score"": 1, ""justification"": ""It is readable but offers limited practice with blends and digraphs beyond 'frog' and 'snake.'""}}","{""consistency"": {""score"": 1, ""justification"": ""All three generations attempt to use simple language and some words with consonant blends and digraphs, but there is inconsistency in both decodability and focus on the target patterns.""}}","Write a decodable story.

Emphasize these phonics patterns:
- consonant blends
- consonant digraphs

Here are some example words containing these patterns:
- consonant blends: stop, frog, black, plant
- consonant digraphs: ship, fish, that, chop

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","Title: The Frog

The frog is in the pond.  
A snake jumps over the frog.  
The frog can swim fast!  
The frog will go to bed at night."
base,blends_digraphs_1,2,1002,"consonant blends, consonant digraphs",1.0,0.4327,0.5673,1.5146,1,14,1,0,1,0,1,0,171,0,2,0,0,"The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.",The story is coherent and free of formatting or structural errors.,It provides little useful practice with blends or digraphs and is not accessible for students at this level.,All three generations fail to produce consistently decodable text focused on consonant blends and digraphs.,The Forest and the Lizard,,,,"about, all, animal, appeared, beautiful, became, began, bloomed, blue, bright, came, covered, creature, curious, day, different, ears, enough, everyone, flowers, for, forest, found, fur, green, grew, heads, home, how, learned, leaves, letters, like, little, lizard, looked, made, magical, many, might, more, morning, moving, new, noticed, now, owl, shape, shiny, small, something, sound, speak, sweet, tall, those, tree, trees, visit",2,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses much above-level vocabulary and complex sentences, making it unreadable for early decodable readers.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent and free of formatting or structural errors.""}, ""task_quality"": {""score"": 0, ""justification"": ""It provides little useful practice with blends or digraphs and is not accessible for students at this level.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to produce consistently decodable text focused on consonant blends and digraphs.""}}","Write a decodable story.

Emphasize these phonics patterns:
- consonant blends
- consonant digraphs

Here are some example words containing these patterns:
- consonant blends: stop, frog, black, plant
- consonant digraphs: ship, fish, that, chop

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","**The Forest and the Lizard**

One day, a little fox found a small tree full of shiny leaves. The leaves were green, but they had a strange shape—like the letters *stop*. The fox was curious about them and thought it might be a kind of animal. 

Then one morning, a big lizard came to visit the forest. He was tall, covered in long fur, and his eyes were bright blue. He noticed that there were many plants with big ears and small heads. Those plants were different from the ones on the leaves. They looked like *ship*, which made a sound when moving.

The next day, the forest began to grow more beautiful. Trees bloomed, flowers grew, and a new creature appeared—the owl. The owl said something sweet and magical to everyone in the forest. And so the forest became home for all things.

Now, if you want to know more about the forest, I can tell you how the trees learned to speak. But just this is enough! 🌳✨"
tuned,blends_digraphs_1,2,1002,"consonant blends, consonant digraphs",0.875,0.3429,0.6571,1.1143,1,4,1,0,1,0,1,0,35,1,2,1,1,The story is mostly decodable but uses above-level words like 'together' and lacks strong target pattern emphasis.,"The text is clean, coherent, and free of errors or formatting issues.","It offers minimal practice with blends and digraphs, limiting its effectiveness for targeted phonics instruction.","All three generations attempt to use simple language and some words with consonant blends and digraphs, but there is inconsistency in both decodability and focus on the target patterns.",The Fun Game,,,,"ball, for, game, happening, park, play, playing, rope, sara, title, together",2,"{""spec_adherence"": {""score"": 1, ""justification"": ""The story is mostly decodable but uses above-level words like 'together' and lacks strong target pattern emphasis.""}, ""robustness"": {""score"": 2, ""justification"": ""The text is clean, coherent, and free of errors or formatting issues.""}, ""task_quality"": {""score"": 1, ""justification"": ""It offers minimal practice with blends and digraphs, limiting its effectiveness for targeted phonics instruction.""}}","{""consistency"": {""score"": 1, ""justification"": ""All three generations attempt to use simple language and some words with consonant blends and digraphs, but there is inconsistency in both decodability and focus on the target patterns.""}}","Write a decodable story.

Emphasize these phonics patterns:
- consonant blends
- consonant digraphs

Here are some example words containing these patterns:
- consonant blends: stop, frog, black, plant
- consonant digraphs: ship, fish, that, chop

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","Title: The Fun Game

Sara and Sam have fun playing games together.  
They play ball and jump rope.  
A big game is happening at the park!  
We run to get on the grass for fun!"
base,blends_digraphs_1,3,1003,"consonant blends, consonant digraphs",1.0,0.4976,0.5024,1.9171,1,14,1,0,0,1,1,0,205,0,2,0,0,The story uses advanced vocabulary and sentence structures far beyond early decodable text level.,"The story is coherent, complete, and free of formatting or structural errors.",It is not suitable for phonics practice due to above-level words and complex sentences.,All three generations fail to produce consistently decodable text focused on consonant blends and digraphs.,The Forest's Whisper,,no_terminal_punctuation,,"about, above, adventure, animal, another, anything, around, began, bird, book, calls, came, carried, clouds, colorful, connected, day, deep, distant, except, far, feel, feeling, few, flew, flowed, followed, forest, found, friends, girl, grasses, greatest, happy, hear, heard, her, hidden, high, home, hummed, inspired, journey, learned, leaves, like, lila, little, made, many, mountain, never, new, owl, pictures, places, proud, quiet, rabbit, read, returned, river, rivers, rustle, seen, sentences, simple, small, something, sometimes, squirrel, stone, stories, streams, tail, tales, talking, tall, telling, trees, wagging, walked, way, whisper, whispers, wise, wonder, woods, words, world, young",2,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses advanced vocabulary and sentence structures far beyond early decodable text level.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free of formatting or structural errors.""}, ""task_quality"": {""score"": 0, ""justification"": ""It is not suitable for phonics practice due to above-level words and complex sentences.""}}","{""consistency"": {""score"": 0, ""justification"": ""All three generations fail to produce consistently decodable text focused on consonant blends and digraphs.""}}","Write a decodable story.

Emphasize these phonics patterns:
- consonant blends
- consonant digraphs

Here are some example words containing these patterns:
- consonant blends: stop, frog, black, plant
- consonant digraphs: ship, fish, that, chop

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","**The Forest's Whisper**

In a quiet forest where the trees hummed with old songs, there lived a young girl named Lila. She had never heard anything except the soft rustle of leaves and the distant calls of her friends. One day, she found a small book filled with colorful pictures and simple sentences. As she read, she began to hear something new—words that made her feel connected to the world around her. 

One day, a rabbit came to the edge of the forest, wagging its tail. “I want to go far,” it said, and so Lila followed. They walked through tall grasses, where the wind carried stories like whispers. A squirrel sat on a stone, talking about rivers and streams. Another animal, a bird, flew high above, telling tales of the sky.

They met a wise owl who had seen many places. The owl told Lila about a mountain hidden deep in the woods, and a river that flowed from the clouds. It was a journey full of wonder, and Lila felt proud to have helped them find their way.

At the end, they returned home, feeling happy and inspired. Lila learned a few things: sometimes the greatest adventure is just a little step"
tuned,blends_digraphs_1,3,1003,"consonant blends, consonant digraphs",1.0,0.1793,0.8207,0.5924,1,21,1,0,1,0,1,0,184,1,2,1,1,The story uses mostly decodable words but includes above-level vocabulary and complex sentence structures for this stage.,"The story is coherent, complete, and free from formatting or logical errors.","There is some practice with blends and digraphs, but not enough emphasis or repetition for strong phonics learning.","All three generations attempt to use simple language and some words with consonant blends and digraphs, but there is inconsistency in both decodability and focus on the target patterns.",A Frog’s Adventure,,,,"adventure, all, another, answers, any, anymore, because, close, coming, day, for, lake, like, look, mean, more, near, nothing, place, problem, see, sees, stay, tired, title, together, until, wait",2,"{""spec_adherence"": {""score"": 1, ""justification"": ""The story uses mostly decodable words but includes above-level vocabulary and complex sentence structures for this stage.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free from formatting or logical errors.""}, ""task_quality"": {""score"": 1, ""justification"": ""There is some practice with blends and digraphs, but not enough emphasis or repetition for strong phonics learning.""}}","{""consistency"": {""score"": 1, ""justification"": ""All three generations attempt to use simple language and some words with consonant blends and digraphs, but there is inconsistency in both decodability and focus on the target patterns.""}}","Write a decodable story.

Emphasize these phonics patterns:
- consonant blends
- consonant digraphs

Here are some example words containing these patterns:
- consonant blends: stop, frog, black, plant
- consonant digraphs: ship, fish, that, chop

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","Title: A Frog’s Adventure

A frog wants to go on an adventure. The frog sees a lot of frogs near the pond. He can see them all. Then he sees a lot more frogs near the lake! They do not want to come close. So he runs from the pond to the lake. When he gets there, he is so tired! The frogs will not wait for him anymore. But when he comes back, they are still not coming near him. His job is done. What does his job look like? It is to find a spot where he can rest. If he has no place to rest, then he must stay until the next day. He can not rest at the pond because there is nothing else to rest at. He must find another spot. This is a problem. He can’t find any spots to rest. He had to ask the frogs if they could help him. “Yes,” says one frog, “I can help you.” “You mean help me rest?” asks the frog. “Yes!” answers the frog. So they sit together and rest."
base,diphthongs_digraphs_1,1,1001,"diphthongs, consonant digraphs",1.0,0.2019,0.7981,0.2019,1,14,1,0,0,1,1,0,208,0,1,0,0,The story uses advanced vocabulary and complex sentences far beyond decodable text for this phonics level.,The story is mostly coherent but is truncated and ends abruptly.,It is not suitable for phonics practice due to above-level words and insufficient focus on target patterns.,"Across all three generations, the stories do not consistently produce in-level decodable text focused on diphthongs and consonant digraphs.",The Happy Garden of Lila,,no_terminal_punctuation,,"about, across, adventure, ago, alive, always, animals, around, began, between, carrying, colors, curious, dreaming, faraway, feeling, garden, happy, herself, instead, lila, listening, magic, nestled, opened, picture, playing, rabbit, realized, something, special, stories, story, village, wonder",6,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story uses advanced vocabulary and complex sentences far beyond decodable text for this phonics level.""}, ""robustness"": {""score"": 1, ""justification"": ""The story is mostly coherent but is truncated and ends abruptly.""}, ""task_quality"": {""score"": 0, ""justification"": ""It is not suitable for phonics practice due to above-level words and insufficient focus on target patterns.""}}","{""consistency"": {""score"": 0, ""justification"": ""Across all three generations, the stories do not consistently produce in-level decodable text focused on diphthongs and consonant digraphs.""}}","Write a decodable story.

Emphasize these phonics patterns:
- diphthongs
- consonant digraphs

Here are some example words containing these patterns:
- diphthongs: coin, out, toy, cloud
- consonant digraphs: ship, fish, that, chop

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","**The Happy Garden of Lila**

In a small village nestled between two hills, there lived a girl named Lila who loved playing with her stuffed animals. One day, she found a box full of toys. She opened it and saw a big picture on the front. It was a map to a faraway land where all the stars were alive.

Lila had always thought of herself as a curious child, but one day she realized something new. The stars didn’t just shine; they sang stories. They told tales about adventure and magic. Each star had its own name—*a brave knight*, *a wise owl*, *a happy rabbit*—and each one had their own special way to tell their story.

One night, the sky began to change colors. A storm came, but instead of rain, there were clouds made from dreams. These clouds were real and could be heard by Lila, who felt safe and happy. She spent hours listening and feeling that the world around her was filled with wonder.

Then, a long time ago, when the stars were still young and dreaming, there once lived a ship that sailed across the stars, carrying the joy of adventure and the magic of life. Now, with her heart full"
tuned,diphthongs_digraphs_1,1,1001,"diphthongs, consonant digraphs",0.5,0.1837,0.8163,0.1837,1,5,1,0,1,0,1,0,49,0,0,0,0,"The story lacks target diphthongs, has confusing pronoun use, and is not decodable for the intended level.","The text is confusing, contradictory, and contains unclear references, making it unusable as instructional text.",It does not provide practice with diphthongs or consonant digraphs and is not suitable for student learning.,None of the three generations consistently produce decodable text focused on diphthongs and consonant digraphs.,The Puffing Puff,,,,"because, daisy, funny, puffing, taller, title",6,"{""spec_adherence"": {""score"": 0, ""justification"": ""The story lacks target diphthongs, has confusing pronoun use, and is not decodable for the intended level.""}, ""robustness"": {""score"": 0, ""justification"": ""The text is confusing, contradictory, and contains unclear references, making it unusable as instructional text.""}, ""task_quality"": {""score"": 0, ""justification"": ""It does not provide practice with diphthongs or consonant digraphs and is not suitable for student learning.""}}","{""consistency"": {""score"": 0, ""justification"": ""None of the three generations consistently produce decodable text focused on diphthongs and consonant digraphs.""}}","Write a decodable story.

Emphasize these phonics patterns:
- diphthongs
- consonant digraphs

Here are some example words containing these patterns:
- diphthongs: coin, out, toy, cloud
- consonant digraphs: ship, fish, that, chop

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","Title: The Puffing Puff

Daisy is the puffing puff.  
She can puff up her wings like a storm!  
The puffing puff has a funny look on his face.  
He looks sad because he is so much taller than him!  
His puffing puff is too tall for him to see!"
base,diphthongs_digraphs_1,2,1002,"diphthongs, consonant digraphs",1.0,0.1706,0.8294,0.1706,1,16,1,0,1,0,1,0,170,1,2,1,0,The story contains above-level vocabulary and complex sentences that make it challenging for early decodable readers.,"The story is coherent, complete, and free from formatting or logical errors.","Target patterns appear but are not emphasized enough, and the text is not fully accessible for decodable practice.","Across all three generations, the stories do not consistently produce in-level decodable text focused on diphthongs and consonant digraphs.",The Sunny Farm and Its Friends,,,,"after, another, around, carrots, decided, even, farmer, farmers, faster, flowers, garden, growing, happy, hopscotch, morning, mr, other, others, piggy, planted, special, strawberries, sunny, together, tomatoes, vegetables, water",6,"{""spec_adherence"": {""score"": 1, ""justification"": ""The story contains above-level vocabulary and complex sentences that make it challenging for early decodable readers.""}, ""robustness"": {""score"": 2, ""justification"": ""The story is coherent, complete, and free from formatting or logical errors.""}, ""task_quality"": {""score"": 1, ""justification"": ""Target patterns appear but are not emphasized enough, and the text is not fully accessible for decodable practice.""}}","{""consistency"": {""score"": 0, ""justification"": ""Across all three generations, the stories do not consistently produce in-level decodable text focused on diphthongs and consonant digraphs.""}}","Write a decodable story.

Emphasize these phonics patterns:
- diphthongs
- consonant digraphs

Here are some example words containing these patterns:
- diphthongs: coin, out, toy, cloud
- consonant digraphs: ship, fish, that, chop

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","**The Sunny Farm and Its Friends**

One day, there was a new friend named Mr. Piggy who came to live on the farm. The old farmer had a garden full of flowers, but now Mr. Pig was growing vegetables from seeds. He brought in a big pot of tomatoes, carrots, and a bunch of strawberries.

The farmers were all happy to see him come. They planted more crops together and made new toys with their own hands. One day, they found a special toy called ""the Fish."" It was a small boat, and it could go far. The water was blue.

Then one morning, the group decided to play games. They played hopscotch, chased each other around the farm, and even built a new bridge. They learned how to move faster than the others.

After a long time, the friends left the farm for another day. They went home, and Mr. Pig still lived on the farm with his plants and his toys. And there was a lot of fun! 🌸✨"
tuned,diphthongs_digraphs_1,2,1002,"diphthongs, consonant digraphs",0.5,0.1795,0.8205,0.1795,1,4,1,0,1,0,1,0,39,1,2,1,0,"The story is decodable but barely uses diphthongs or consonant digraphs, limiting its value for targeted practice.","The text is coherent, complete, and free of errors or formatting issues.","It offers minimal practice with the target patterns, reducing its effectiveness as a focused learning tool.",None of the three generations consistently produce decodable text focused on diphthongs and consonant digraphs.,The Fun Game,,,,"hopscotch, lemonade, playing, sara, table, title, together",6,"{""spec_adherence"": {""score"": 1, ""justification"": ""The story is decodable but barely uses diphthongs or consonant digraphs, limiting its value for targeted practice.""}, ""robustness"": {""score"": 2, ""justification"": ""The text is coherent, complete, and free of errors or formatting issues.""}, ""task_quality"": {""score"": 1, ""justification"": ""It offers minimal practice with the target patterns, reducing its effectiveness as a focused learning tool.""}}","{""consistency"": {""score"": 0, ""justification"": ""None of the three generations consistently produce decodable text focused on diphthongs and consonant digraphs.""}}","Write a decodable story.

Emphasize these phonics patterns:
- diphthongs
- consonant digraphs

Here are some example words containing these patterns:
- diphthongs: coin, out, toy, cloud
- consonant digraphs: ship, fish, that, chop

Use the example words only as guidance. You may use other words that contain the same patterns.
Write a coherent narrative with a clear beginning, middle, and ending.
Include a natural story title.
Do not mention phonics terms or pattern names in the title or story.","Title: The Fun Game

Sara and Sam have fun playing games together.  
They play ball and they play hopscotch too.  
Sam has two cups of lemonade to drink.  
The game ends when the kids say “No!” from the table."
