title,story,phonics_focus,sentence_count,source,menon_hiebert_level,present_patterns,target_phonics,present_phonics_summary
Fun at the Zoo,"The cat naps on a mat.  
The dog runs to the log.  
The pig digs in the mud.","['a, e, i, o, u', 'b, c, d, f, g', 'h, j, k, l, m', 'n, p, q, r, s', 't, v, w, x, y, z']",3,HuggingFace,2,,basic single-syllable words,basic single-syllable words
Fun at the Zoo,"The cat naps on a mat.  
A big dog runs fast.  
Six red hens peck.","['a, e, i, o, u', 'b, c, d, f, g', 'h, j, k, l, m', 'n, p, q, r, s', 't, v, w, x, y, z']",3,HuggingFace,2,"digraph, blend",basic single-syllable words,basic single-syllable words
The Quick Fox and the Big Hen,"The quick fox can run fast, but the big hen sits in the sun.  
A red bug hops on a log as the wet duck quacks in the pond.  
Six zebras zig and zag past the yellow yak in the grass.","['a, e, i, o, u', 'b, c, d, f, g', 'h, j, k, l, m', 'n, p, q, r, s', 't, v, w, x, y, z']",3,HuggingFace,3,"digraph, blend, vowel_team, multisyllabic","consonant blends, consonant digraphs","consonant digraphs, consonant blends"
The Cat and the Rat,"The cat sat.  
The rat ran.  
The cat ran at the rat.","['simple consonants', 'short vowels', 'basic blending']",3,HuggingFace,2,,basic single-syllable words,basic single-syllable words
The Cat and the Rat,"The cat sat on a mat.  
The rat ran fast.  
The cat can nap.","['simple consonants', 'short vowels', 'basic blending']",3,HuggingFace,2,blend,basic single-syllable words,basic single-syllable words
The Fast Cat and the Big Dog,"The cat can run fast past the big red barn.  
The dog hops on the log but slips in the mud.  
The cat and dog sit in the sun and nap.","['simple consonants', 'short vowels', 'basic blending']",3,HuggingFace,3,"blend, r_controlled",consonant blends,consonant blends
The Big Red Dog,"The big dog can run.  
The cat sat on the red mat.  
The sun is hot on top!","['cat', 'dog', 'run', 'sit', 'big', 'red', 'top', 'map', 'sun', 'leg']",3,HuggingFace,2,,basic single-syllable words,basic single-syllable words
Fun at the Zoo,"The big cat can run.  
A red dog can sit.  
The sun is on top!","['cat', 'dog', 'run', 'sit', 'big', 'red', 'top', 'map', 'sun', 'leg']",3,HuggingFace,2,,basic single-syllable words,basic single-syllable words
The Big Red Dog,"The big red dog can run and sit in the hot sun.  
A cat naps on top of the map with its leg tucked in.  
The dog and cat play tag but stop when the sun dips low.","['cat', 'dog', 'run', 'sit', 'big', 'red', 'top', 'map', 'sun', 'leg']",3,HuggingFace,2,"digraph, blend, vowel_team","consonant blends, consonant digraphs","consonant digraphs, consonant blends"
My Big Fun Fam,"Mom has a cat.  
Dad has a dog.  
I hug my sis.","['a, e, i, o, u', 'b, c, d, f, g', 'h, j, k, l, m', 'n, p, q, r, s', 't, v, w, x, y, z']",3,HuggingFace,2,,basic single-syllable words,basic single-syllable words
