title,story,phonics_focus,sentence_count,source
A Book of Animals,I see the bear. I see the alligator. I see the dog. I see the elephant. I see the jellyfish. I see the goose and the parrot.,,6,uprep
The Ham Sandwich,I see the cat in the hat. The cat can see the ham. He can see the rat. The rat can see the ham. The rat has the ham! I see a mad cat.,,6,uprep
The Milkshake,The rat can see the kid. The kid has a sip. The rat has a wish. Chip is up. Chip has a sip. The rat is mad.,,6,uprep
Fun With Gum,The sun is up. The rat can see the bus. He is in the bus. Chip is in the bus. The gum is fun! Chip and the rat run.,,6,uprep
The Mop is a Dog,is a Dog! The dog is not a mop! Chip and Josh can see the dog. Josh can not run. The dog is not big. The dog can wag and sit. And the dog can yip and yap!,,7,uprep
Josh's New Home,The rug is red. Ben can see a bed. Ben is by the bed. Josh and Ben sit and chat in the den. Josh fed Ben a nut and jam. The rug is wet!,,6,uprep
Chip Can't Nap!,Chip Can’t Nap! Chip has a bed by the shop. Thud! Bash! The cab will not hush! Chip can not nap. Chip will dash to the van. The van is shut! Will Chip get a nap?,,9,uprep
Josh Takes a Bath,Josh is in the mud. The tub is big. He can not get in. The cup is not a bath tub. He can not fit. Josh will get in the lid. He will have to sit in the sun. Josh is not wet. He can nap in the sun.,,9,uprep
Josh and Chip at the Farm,Josh and Chip get in a bus. Where are they? A cat is there. They chat with the cat. They see a pig in a pen. There is a lot of mud! They see a hen. And a rat! They get on the bus.,,9,uprep
The Bowling Alley,Josh can see a pin by the can. What is it for? Is it a jug? Chip can hit one pin. Josh can hit two. Will Josh win? Chip can hit four. Will he hit them all? The pin will tip. Will Chip win?,,10,uprep
Time to Bake,Jib and jab. Rub a dub. Bash and dash. And then a thud! Bam and jam. Chop and cut. The pot is big and the lid is shut. The ham is hot and the dog will fuss. Yip and yap and then a hush.,,9,uprep
The Mystery Moth,"Is it a jet? Or a bug? No, it is a moth. She can zip and dip. Will Chip get the moth? She is on top of the dog. She is off the dog. She is on the wig! Will she rip the web? Yes! Will Chip get to see her? Where is she?",,12,uprep
The Jazz Trio,"Josh has a tin lid. He will tap it. “Is that a bell?” said Chip. “What is it?” “It is jazz,” said Josh. Chip has a pan. “Tap, tap, thud, thud.” Chip and Josh can tap and thud. Ben can hum. “Jazz with you is such fun!” said Chip.",,12,uprep
Pat's Mess,,,0,uprep
Pat's Map,This is a map. Look at the map. Pat digs in the sand and looks at the kids. The kids dip and splash. This fish can flip. Pat sips a drink. Can this kid sip his drink? The kids sip drinks.,,8,uprep
Pat's Lunch,Is the sun up? Did the sun quit? The lamp is the sun! This is Pat’s bag. She zips up the bag. Pat naps on the rug.,,6,uprep
Sam's Box,"Sam sees a box. It is a gift from Dad. Sam lifts the lid from the box. Sam likes the gift! Sam sees a pot in the shop. Sam sees a wing. Now, he sees a man in a cab. Sam sees a dog. He wants to pet the dog. “Can I pet the dog?” says Sam. The man says the dog is a pug. Sam pets the pup. He hugs the pup. Sam says, “I wish I had a dog.”",,15,uprep
Sam Wants a Pet,"“I want a pet!” says Sam. Sam begs and begs for a pet. Dad grins at Sam. “I can get a pet,” says Sam. Sam has a plan. A cat is in the shed. The cat is fast. It can dash. The moth is gone. Dad says “No” to the red ant. Sam looks in the pond. Can Sam dunk his hand in to get the fish? The fish is fast. Sam sits on his bed. “I am sad,” says Sam. Dad has a plan.",,17,uprep
Dad's Plan,"Dad has a plan. “I will get my pen and pad,” says Sam. “I am a spy! Look, I am spying!” says Sam. Sam sees a sac in the web. Sam and Dad sit on a bench. Sam sees a robin. It is not shy. The robin has a red chest. Dad and Sam go to the pond. Sam saw lots of pets.",,12,uprep
Sam's rock,"Sam has a rock. The rock gives him luck. The rock is lost! Where is the rock? Who has the rock? “I want the rock back,” says Sam. Sam thinks back. “When did I have the rock?” he asks. Where did Sam look? He looked in the sack. He looked in the desk. Where is it? Sam thinks and thinks. “My sock! The rock is in my sock!” “I have my rock. What luck!” says Sam.",,19,uprep
Sam and Nell have a ball,"Have a Ball! Nell could spin the ball fast. Then the ball fell. “Toss the ball at the wall!” said Sam. “I said Nell. She hit will,” a small spot on the wall. Then Sam hit the spot. “When is the bell?” said Sam. The bell rang. Sam and Nell got all the stuff. Back to class!",,13,uprep
On the Pond,The pond is like glass. The sun slips up in the sky. The grass is wet. A drip drops from the plant. The frog hops from the pad to get the fly. The fly gets by. Splash! The fish swims by the frog. The clam is up from the mud. The day is long at the pond. The sun sets. There is a hush at dusk. The pond is like glass.,,13,uprep
I Look Out,The sound of the wind is loud. I get up from the couch and I look out. The sun is out with some clouds. I count the clouds as they go past. The wind gusts. The dust is up. The nest is on the branch. I think I see a string in the nest. The fox hunts by the pond. Ouch! A bug! The bug is a pest. I look out. A last gust of wind. The wind is at rest.,,15,uprep
A Sunset Picnic,"“Grab a picnic basket!” said Dad. “ Why?” asked Sam. “ You will said Dad. see,” “I got a big sandwich from the said market,” Dad. “We will split it.” Dad and Sam got to the hill.",,8,uprep
Pat's Backpack,"Pat has a red backpack. She got it from Granddad. She will not go out unless she has it. “Can I help you zip it?” I ask. She says, “No! I do it!” It still will not zip. She lifts out her blanket. “Can I help you zip it now?” I ask. She says, “No! I do it!” She lifts out her magnets. “Now can I help you zip it up?” I ask. she says. “Yes,” I zip it up a bit. I let Pat zip the rest.",,19,uprep
Pat's Donut,"I had a secret for Pat. I held Pat’s hand. “Let’s go!” I said. Pat was behind me. The secret was the donut shop. I got a muffin. “Do you want a bagel or a donut?” said the baker. Pat was silent for a moment. Then she said, “A donut!” Pat began to pick up the donut. Then it fell! Pat was sad. Then the baker was a hero! We said, “Thank you.” The baker had a big grin. So did Pat. I was glad.",,19,uprep
James and Sam Make a Flame,"Sam, James and Dad are camping. They see a snake! “Are we safe from the snake?” says James. “Yes. We are safe,” says Dad. Then they see a lake. “Is the lake safe?” says James. “Yes. We are safe,” says Dad. Then Dad says, “We will make a fire. And it will be safe!” James and Sam make a pile with sticks. Dad helps them make a flame. Then they make a fire! “We made a fire!” they say. James and Sam smile. “It is like home. I am says James. safe,”",,22,uprep
James and Sam Take a Hike,"Sam, James, and Dad are camping. Dad says, “Do you want to take a hike?” “Yes, we will take a hike,” says Sam. “We will hike for miles! It will take a lot of time,” says James. “I want to see a cave!” says James. “I want to see bones!” says Sam. At mile , they see pines. The pines are wide. “I can hide!” says James. At mile , they see a hole. “It is a home for a snake!” says Sam. At mile , they see a pile of stones. “Some of the stones shine! I will bring a stone home for Pat,” says James. “Will we hike for nine miles?” asks Sam. “No, it is time to go back,” says Dad. “I like to hike,” says James. “Next time I will bring Pat!”",,24,uprep
Cubes and Cones,,,0,uprep
Baseball,"is a fun game to play and watch. We call baseball a pastime. Do you like baseball? Baseball is played outside. It is nice to play in the sunshine, but baseball games can sometimes be played when it is late too. These players are from a long time ago. These players do not have a bat. So they use a stick. They are playing stickball! Here is a female player. She just hit the ball. I hope she can make it to all the bases. Let’s see if she can.",,13,uprep
Looking for Mars,"It is dark. There is no storm. It is time to see Mars! Pat and James start to go to the park. But it is not warm, so they get a scarf for Pat. It is a short way to the park. But it is a long way to the stars! It is still hard for Pat to see. She does not see Mars or the North Star. James and Pat go to the yard in the park. “We can see more stars in the dark,” says James. Then Pat grabs his arm. “Mars!” says Pat. “I knew you could see it!” says James. “I go to bed with stars?” asks Pat. “No, that would not be safe. But we will do it again,” says James with a smile. “I did it!” Pat says. “Bye, stars! Bye, Mars!” says Pat.",,25,uprep
Sam's Hammer,"Sam’s class will perform a play. The play will be about an old farmer and his farm. “That will be much better,” says Sam. “I will not be a performer, but I will still be a part of the play. I will make the set!” Sam and the kids work hard. Nell is working on her lines. James works, too. Sam hammers. He gathers parts for the set. He makes it look like a farm!",,11,uprep
Sam's Throat Hurts,"Hurts! Sam woke up and felt weak. He also had a pain in his throat. His throat hurt so much he could not speak. He could only squeak! Sam did not want his toast. He could not eat a meal. “You are burning up,” said Dad. “We should go to the doctor.” The doctor checked his throat. She said his tonsils were very red. “If we take them out of your throat, you will not be sick. After that, your pain should stop,” she said. Sam wanted to scream! He was scared. After his tonsils were gone, Sam woke up. “Where am I?” he asked. He felt like he was in a dream. “If this is a dream, it is a good dream! I get to have ice cream for my meal!” said Sam.",,22,uprep
Pat's Bithday,"Friday is Pat’s birthday. She will be three. On Monday she says, “Today?” “No not today. Friday,” I say. The next day, she asks again.“Today?” she says. “No, it will be on Friday,” I say. Will she ask again the next day, too? “What do you want for your birthday?” I ask. Pat says. “Snow.” “But it is May. It does not snow in May,” I laugh. “I make a snowman. I play in the snow,” she says. I take her to the window. We see the grass and the sun rays. No snow. But I have a plan. It is Friday! Time for Pat’s party. She gets gifts with bows. But no snow. Pat and I play in the snow. ”Snow for my birthday!” she says. We both laugh.",,29,uprep
A Little Seed,See the little seed under the tree? It is a windy day. The wind sweeps the tiny seed to the city. It lands on a roof. The wind is angry today. The seed speeds into the air. It lands in a park. The little seed will go deeper in the grass. It needs plenty of sun and rain. They are like food to the little seed. It is a sunny day. The afternoon sun will warm the seed. The next day is rainy. Every raindrop will help the little seed grow. The next day is cool and misty. The tiny seed is now a shoot. It has roots. The seed grows. Soon it has stem a and only one leaf. Soon it has three green leaves. See the pretty flower? It is not a weed. The bees buzz around it. The little seed is not really a seed anymore!,,24,uprep
Night Skies,"Have you ever looked up high into the night sky? Some nights, you will see bright stars shining. Some nights you might see a moon that looks like part of a pie. Have you ever tried to see the man on the moon? Sometimes, you can see the moon in the daylight. One night you might see these bright lights. And hear them pop! If you look hard, you might see the lights of a plane as it flies by. If you are really lucky, you might see a star shoot through the sky! What do you think you will see in the sky tonight?",,10,uprep
Reading Together,"Pat tries to read. James helps. They always sit on a beanbag chair together. They are reading about a girl named Daisy. Daisy sees shadows in the nighttime and she is afraid. “Again!’ says Pat. James repeats the story. Then James gets a book for himself. He is reading about trains on the railroad. Now Pat tries to read a book about a greedy beaver. The bell rings. It is Sam. “We are reading.” explains James. “It is rainy today. We cannot go to the playground. I will read, replies Sam. too,” Sam is reading about a baseball player and his team. He is eager to read more.",,20,uprep
Sam Rides the Subway Train,"Now there was a new subway train stop. It was very close to where Sam and Dad lived. Dad said, “Sam, do you want to ride the subway train alone?” Sam was afraid. He was afraid he would not know when to get off the train. But he wanted to try it anyway. He would be brave. Dad explained, “I will pay for a subway pass. Then you will get on the train. You will get off after two stops. I will walk to the train stop. You will wait for me. OK?” Sam was still a little afraid. But he would be brave. He said it all again to Dad. “We will get a pass. Then I will get on the train. I will get off after two stops. Then I will wait for you.” Sam was ready. Sam and Dad walked to the subway train stop. Dad paid for a subway pass for Sam. “Two stops. Then get off and wait for me.” “OK,” said Sam. Dad left. Sam looked down at the subway rails and waited. He felt like he was waiting for a long time. Then, the subway train came. He got on. One stop. Then at stop two, he got off. He walked up the stairs. He waited.",,35,uprep
Do Fish Eat Cheese?,"Cheese? James was happy to tell Sam some news. “We can catch fish in the creek now!” says James. “Really?” says Sam. “Yes. Before, we could only feed the fish in our park. Now we can use a fishing pole to catch fish. But we have to put them back in the creek.” James and Sam walk to the park. There is a big pond and some creeks and streams. “I have never been to that stream,” says James. James and Sam go to the stream. “What do fish eat?” asks Sam. “I think they will eat cheese. I will put it on our line,” says James. Do you think they will eat cheese? What do you think fish eat? Sam and James stand under a tree next to the stream. The green leaves give them shade from the heat. Sam has never been fishing before. James teaches him. James casts his fishing line. He does not catch a fish. Sam does not catch a fish. “Maybe they are asleep?” asks Sam. “Or maybe they are down really deep? So they can not see our cheese?” “It is not easy to catch fish!” says Sam. “Yes, but it is still really fun to try!” says James. “We will try again this weekend,” says James as they leave for home.",,36,uprep
Stuck Up High,"Chip the cat does not like to go up high. But tonight is the only night that he might. The sky is full of stars. Chip has never seen a shooting star. He thinks it will be easy to see once he is at the top of a tall tree. He starts to go up. He slips on a branch and almost falls. What a fright! But he still goes higher. Now he is at the top. The moonlight shines on the leaves. It shines on the ground below. Chip watches and watches. Then something bright in the night sky shoots by! A shooting star! What a sight! Now it is time to get down. But how? Chip cries for help. Nobody is there. He tries to fall asleep, but he can’t. He stays all night. The next day, he hears a boy in the park. He cries once for help. Pat and James hear him. They call for help. The firefighter brings her sup- plies to the park. She goes up to get Chip. She opens her arms. Chip jumps to her. Do you think Chip will ever go up into a tree again?",,31,uprep
Friends at School,"Today is the first day of school. “Are you ready for school?” asks Dad. Sam is unsure. “What if none of my friends are in my class? What if I do not know anybody?” Sam says. “You will meet new friends!” says Dad. “Eat your oatmeal. Then we will walk to school.” Sam eats his oats. Then Sam and Dad walk to school. Sam slowly walks into his new class. He looks around for friends that he knows. “Hi, Sam! I am Mr. Moats. I will be your teacher this year.” “Follow me to your new desk,” says Mr. Moats. Sam follows him. Then he sees Nell! Nell has been his friend for a long time. Sam smiles at Nell as he sits at his desk. It looks like Nell has grown taller over the summer. Then he feels somebody tap his elbow. “Hi! Can I borrow a pen? None of mine are in my bag,” says a boy sitting behind Sam. “Sure! You can borrow this one,” says Sam. He hands the boy a pen. “Thanks! My name is Owen. I am new in this school.” “My name is Sam,” says Sam. “I will show you around. I will help you meet new friends.”",,39,uprep
Fall Fest at the Park,"The leaves on the trees were starting to turn many colors. James and Pat could see red leaves, yellow leaves, brown and orange leaves. It was Fall! They wanted to go the Harvest Fest at the park. “Can we walk to the park this morning?” James asked Grandma. “Sure. Have fun and be safe,” she said. James and Pat walked to the park. The Harvest Fest was full of fun things to do and see. There were lots of people and colors and smells. Pat and James saw some friends from school there, too. Then they saw a farmer’s market. The market had fresh eggs, butter, and milk. They also had yellow corn and things that grow on a farm. Then they saw a big barn. Not a real barn, but a play barn. There was also a real farmer there. He had a goat, a pig and a rabbit. The kids could pet and feed them. “I will be a farmer when I grow up. Will you be a farmer with me?” said Pat to James. “I want to be a doctor. But I think you will be great a farmer,” he said as they walked home.",,25,uprep
A New Playground,"Playground! Sam look outside as soon as he got out of bed this morning. “Yes! It’s a sunny day! There isn’t a cloud in the sky!” he shouted to Dad. “May I go to the new playground with James?” “How about you come down and eat first?” Dad replied. Sam frowned, but went down the stairs to eat his eggs and toast. Sam finished eating quickly. As he ran to his room to get dressed Dad said, “Don’t forget to wear a warm coat. It is sunny outside, but it is still cold.” “I know,” said Sam. When Sam got to the playground, he could hear the loud noise of many voices. There was a big crowd of people there. It was mostly kids. They all had on their warm coats like Sam. Sam saw James at the playhouse. He joined him there. “Don’t you think you are too big for the playhouse?” asked Sam. “I am here with Pat. But it doesn’t matter how big I am. The playhouse is still fun!” said James. Sam and James played there for some time. Then they joined Pat in the sandbox. There was a big mound of sand with lots of sand toys. “I don’t think we are too big for the sandbox. Do you?” asked Sam. “No way. We can enjoy the sandbox if we are big or small!” said James. Lots of people made their way out to the playground that day. Sam, James and Pat went home for lunch. Then they went back and stayed until almost sundown. Sam and James didn’t care if they were bigger than lots of the kids there. They just enjoyed playing outside and hanging around at the new playground together.",,40,uprep
Where's Goldie?,"Sam and Nell walk to school together sometimes. The air is starting to get cold. It’s Sam’s job to feed the class goldfish, Goldie. But Goldie is gone. The tank that holds her is gone. Sam looks around. He looks behind the desk. He can’t find her! “Where’s Goldie?” Asks Sam. “She’s not in her tank. She’s gone!” Nell walks over. She looks for the goldfish. She can’t find her. “That’s so weird! Do you think a child in our class has her?” asks Nell. “Maybe we should make a poster. We can post it in the school and in the street. It will tell people that our goldfish has been stolen. Maybe she was stolen and then the robber sold her to another class.” Moats walks over. “OK,Mr. guys. There’s no reason to get upset. I am sure we will find her.” Just then, Owen walks in with his mom. His mom is holding something big. It is a fish tank! “Owen! You had Goldie?” Asks Sam. “Yes. I stayed late at school on Friday because my mom was late. Mr. Pack asked if I could take her home. The heat was broken and he was afraid Goldie would be too cold,” says Owen.",,38,uprep
The Spelling Bee,"James had not always been a good speller, but he worked hard to get better. He dreamed of winning the spelling bee. He was so happy when his teacher chose him to go to the City Spelling Bee. Tonight was the big night. Grandma made James wear a tie for the spelling bee. He tugged at the tie on his neck as he spelled words in his head. He was ready. He and the other kids walked out on the stage to begin the spelling bee. There were so many people there to watch them. They all clapped as the kids walked out on stage. The spelling bee began and James was getting all the words right. Other kids were spelling words wrong, so they had to leave the stage. Finally only James and his friend Nell were left. It was Nell’s turn. A teacher read the word to her. She spelled it wrong! James stopped to think about the word. Then he spelled it. He was right. James won the spelling bee! James almost tripped as he walked over to the teacher. She said, “James is the winner!” James grinned. He was sad for Nell, but still very happy he won. The people clapped and clapped. He went to where Grandma and Pat were sitting. Grandma patted his head then kissed his cheek. Pat hugged him very hard. They were all filled with joy. James had worked so hard and he had won!",,30,uprep
The Marching Band,"It was Friday night and Sam wanted to go to the high school football game. It started at o’clock. He did not know much about football. What he really wanted to see was the band. Sam liked to make music. He played the drum, horns, even a bell. He’d play just about anything! He wanted to hear the big marching band play music together. Sam and Dad walked to the high school. Sam asked if they could get a snack. The game was packed with people. After they grabbed a snack, Sam and Dad finally found a seat. Then the band marched out. One member banged the drum over and over. They all played music together as they marched. He’d never seen anything like it! Sam loved the band. The football game began. People cheered and chanted for the players. Then, at half time, music filled the air again. Sam cheered and clapped for the band as they marched back on the field. Then the band left and the game started again. Sam said, “I’d like to play in a band someday.” He dreamed about it while other people watched the football game.",,24,uprep
Baby Cougars at the Zoo,"“I can’t wait to see the new baby cougars! They’ll be so cute!” said Nell as she and Sam walked to school. It was finally Tuesday, the day they had been waiting for. Their class was going on a trip to the zoo. “I know. It’ll be so cool to see the cubs up close. Or do you think they’ll be shy and hide from us?” asked Sam. “I don’t know. I guess we’ll find out soon!” said Nell. A zoo worker met the class at the front of the zoo. “My name is Matt. I’ll be leading you on a tour of the zoo.” The class followed Matt. They walked out of the birdhouse. “Next, we’ll see Lou, the cougar, and her new cubs,” said Matt. Sam looked at Nell with a smile. The kids crowded around. They had a good view of the cougar den, but did not see anything at first. But then Sam said, “I see Lou, and her cubs, too!” The tiny cubs were next to Lou. They started to play. The boy cub chewed on the girl’s fur. They rolled around. “This is the cutest thing I have ever seen!” said Nell. “This is the best zoo tour ever,” said Sam.",,29,uprep
Too Many Choices,"Soup for You is a new place to eat. It just opened near Sam’s home. Sam and Dad want to go for lunch. Sam and Dad walk down the block. They bring their coupon for a free bag of chips. There is a large crowd there. Other people want to try the new place, too. They get in line and look at the list of soups and other lunch stuff. There are so many choices! Sam doesn’t know which soup he wants. He reads the list and thinks. He gets the clam chowder. Then they come to the drinks. More choices! Sam doesn’t know which one to get. “I don’t know what I want to drink,” says Sam. He thinks. Then he gets the orange soda. Sam and Dad get their food and pay. They sit down and to enjoy their meal. Sam takes a bite. The soup is boiling hot! He blows on it. Now it is OK to eat. After he takes a bite he says, “Yum, this is the best soup I have ever had! I made the right choice.” Dad smiles.",,27,uprep
